Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_TotalTime,3-SR_TotalTime,2-SR_umax,3-SR_umax
CrlNetworkServices,0002,0.778,2.549,0.87,2.807,0.8986555555555555,0.8986444444444445
CrlNetworkServices,0003,0.769,4.024,0.861,4.282,0.8986111111111111,0.8985888888888889
CrlNetworkServices,0004,0.778,4.009,0.87,4.267,0.8986888888888886,0.8987333333333333
Cudi,0000,0.201,0.361,0.29600000000000004,0.45999999999999996,0.8998870833333333,0.8998870833333333
Cudi,0001,0.205,0.39,0.3,0.489,0.8999529166666667,0.8999529166666667
Cudi,0002,0.216,0.38,0.311,0.479,0.8998883333333333,0.8998883333333333
Cudi,0003,0.193,0.352,0.28800000000000003,0.45099999999999996,0.8998845833333332,0.8998845833333333
Cudi,0004,0.211,0.403,0.306,0.502,0.8998883333333333,0.8998883333333333
Cwix,0000,0.683,5.691,0.765,5.9639999999999995,0.8988222222222223,0.8988259259259257
Cwix,0001,1.181,4.597,1.2630000000000001,4.87,0.8989222222222222,0.8989555555555555
Cwix,0002,0.623,3.694,0.705,3.967,0.898937037037037,0.8989111111111111
Cwix,0003,0.639,5.402,0.721,5.675,0.8988444444444444,0.898811111111111
Cwix,0004,0.897,5.601,0.979,5.874,0.898959259259259,0.8989518518518516
Cynet,0000,0.075,0.078,0.375,3.159,0.8994971804511278,0.8994971804511278
Cynet,0001,0.076,0.077,0.376,3.158,0.8994501879699248,0.8994501879699248
Cynet,0002,0.077,0.127,0.377,3.208,0.8994736842105263,0.8994736842105263
Cynet,0003,0.075,0.076,0.375,3.157,0.8995112781954887,0.8995112781954887
Cynet,0004,0.074,0.077,0.374,3.158,0.8994736842105263,0.8994736842105263
Darkstrand,0000,0.297,1.325,0.361,1.466,0.899969,0.9000205
Darkstrand,0001,0.519,1.858,0.583,1.999,0.89998,0.8999775
Darkstrand,0002,0.442,1.084,0.506,1.225,0.899992,0.899954
Darkstrand,0003,0.308,1.115,0.372,1.256,0.9000035,0.89995825
Darkstrand,0004,0.424,1.216,0.488,1.357,0.9000195,0.90002925
Dataxchange,0000,0.045,0.062,0.062,0.08499999999999999,1.0392666666666666,1.0392666666666666
