Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_TotalTime,3-SR_TotalTime,2-SR_umax,3-SR_umax
Arpanet19728,0001,1.183,12.879,1.2510000000000001,13.299,0.90002375,0.900043
Arpanet19728,0002,1.375,5.89,1.443,6.31,0.9000015,0.90002375
Arpanet19728,0003,1.011,15.133,1.079,15.552999999999999,0.89996825,0.90000725
Arpanet19728,0004,0.813,5.633,0.881,6.053,0.900043,0.90000075
AsnetAm,0000,1.518,19.042,1.766,19.976000000000003,0.899725,0.899725
AsnetAm,0001,1.566,16.74,1.814,17.674,0.899732,0.899732
AsnetAm,0002,1.339,13.284,1.587,14.218,0.899717,0.899717
AsnetAm,0003,1.531,17.148,1.779,18.082,0.899718,0.899718
AsnetAm,0004,1.903,16.679,2.151,17.613,0.899929,0.89986775
Atmnet,0000,0.176,0.275,0.21999999999999997,0.333,0.8998419354838709,0.8998548387096774
Atmnet,0001,0.238,0.408,0.282,0.46599999999999997,0.8998806451612904,0.8999
Atmnet,0002,0.209,0.305,0.253,0.363,0.8998516129032252,0.8998709677419338
Atmnet,0003,0.196,0.453,0.24,0.511,0.8998774193548387,0.8998903225806452
Atmnet,0004,0.291,0.393,0.33499999999999996,0.451,0.8998903225806452,0.8998548387096774
AttMpls,0000,194.343,433.618,194.415,435.99899999999997,0.900083,0.9000786666666666
AttMpls,0001,131.687,1801.984,131.75900000000001,1804.365,0.9000855,0.9000915000000002
AttMpls,0002,5.643,274.852,5.715,277.23299999999995,0.9000504583333333,0.9000370416666666
AttMpls,0003,12.104,167.131,12.175999999999998,169.512,0.9000562499999998,0.9000516666666666
AttMpls,0004,9.334,49.07,9.405999999999999,51.451,0.9000545,0.9000645
Azrena,0000,0.097,0.083,0.131,0.119,0.89996,0.89996
Azrena,0001,0.101,0.072,0.135,0.10799999999999998,0.899949,0.899949
Azrena,0002,0.064,0.075,0.098,0.11099999999999999,0.899956,0.899956
Azrena,0003,0.071,0.111,0.105,0.147,0.899946,0.899946
Azrena,0004,0.077,0.105,0.111,0.141,0.899962,0.899962
Bandcon,0000,0.316,1.798,0.363,1.927,0.8999983333333332,0.9000143333333332
Bandcon,0001,0.29,1.143,0.33699999999999997,1.272,0.90004525,0.8999828333333333
Bandcon,0002,0.21,1.037,0.257,1.166,0.8999835,0.90003
Bandcon,0003,0.237,1.352,0.284,1.481,0.8999954999999998,0.9000070833333332
Bandcon,0004,0.19,1.035,0.237,1.164,0.8999915,0.899994
Basnet,0000,0.036,0.036,0.1,0.23600000000000002,0.8997419354838709,0.8997419354838709
Basnet,0001,0.036,0.036,0.1,0.23600000000000002,0.8996129032258064,0.8996129032258064
Basnet,0002,0.035,0.035,0.099,0.23500000000000001,0.8996129032258064,0.8996129032258064
Basnet,0003,0.035,0.035,0.099,0.23500000000000001,0.8996129032258064,0.8996129032258064
Basnet,0004,0.035,0.035,0.099,0.23500000000000001,0.8997419354838709,0.8997419354838709
Bbnplanet,0000,0.189,0.277,0.235,0.334,0.8990666666666667,0.8990555555555556
Bbnplanet,0001,0.257,0.306,0.303,0.363,0.8992,0.8991555555555556
Bbnplanet,0002,0.254,0.237,0.3,0.294,0.899,0.898988888888889
Bbnplanet,0003,0.228,0.239,0.274,0.296,0.8989555555555555,0.8989333333333334
Bbnplanet,0004,0.153,0.315,0.199,0.372,0.8989888888888888,0.8989666666666667
Bellcanada,0000,2.109,35.035,2.298,37.486999999999995,0.899894,0.899876
Bellcanada,0001,2.071,36.377,2.2600000000000002,38.829,0.8998815,0.899953
Bellcanada,0002,2.088,33.611,2.277,36.062999999999995,0.8998775,0.8998775
Bellcanada,0003,2.041,36.671,2.23,39.123,0.8998745,0.8998745
Bellcanada,0004,2.15,51.853,2.339,54.305,0.899933,0.899904
Bellsouth,0000,1.203,16.452,1.421,18.966,0.899881,0.899881
Bellsouth,0001,1.145,16.818,1.363,19.332,0.899906,0.899906
Bellsouth,0002,1.175,16.116,1.393,18.63,0.899886,0.899886
Bellsouth,0003,1.181,16.18,1.399,18.694,0.899881,0.899881
Bellsouth,0004,1.198,16.292,1.416,18.806,0.8998925,0.8998925
Belnet2003,0000,0.36,2.136,0.432,2.221,1.8092766666666662,1.809212
Belnet2003,0001,0.308,2.047,0.38,2.132,2.034345,2.034345
Belnet2003,0002,0.314,3.577,0.386,3.662,2.0279882000000002,2.0279403333333335
Belnet2003,0003,0.192,1.251,0.264,1.3359999999999999,0.89999,0.89999
Belnet2003,0004,0.488,3.121,0.5599999999999999,3.206,2.0150609999999998,2.0148974666666666
Belnet2004,0000,0.361,2.067,0.425,2.297,1.9834965,1.9834964999999998
Belnet2004,0001,0.71,11.351,0.774,11.581000000000001,1.1139582,1.11396972
Belnet2004,0002,0.676,3.857,0.74,4.087000000000001,2.0691312,2.0691312
Belnet2004,0003,0.302,3.168,0.366,3.398,1.35131125,1.35131125
Belnet2004,0004,0.365,2.131,0.429,2.3609999999999998,1.926716833333333,1.9266915
Belnet2005,0000,0.741,7.956,0.823,8.042,1.05479632,1.0547825
Belnet2005,0001,0.366,4.68,0.448,4.766,0.9000441,0.900085125
Belnet2005,0002,0.419,6.754,0.501,6.84,0.9000678799999999,0.900073685
