Topology,DemandFile,ExitCode_SRPP,Time_SRPP,Umax_SRPP,ExitCode_MIP,Time_MIP,Umax_MIP,ExitCode_full,Time_full,Umax_full,ExitCode_CG4SR,Time_CG4SR,Umax_CG4SR
Arn,0,0,0.122,0.8964583333,0,0.225818313,0.8964583333,0,0.241,0.8964583333,0,2.552297888,0.8964583333
Arn,1,0,0.136,0.89675,0,0.226971763,0.89675,0,0.259,0.89675,0,2.85745776,0.89675
Arn,2,0,0.156,0.8967916667,0,0.229074801,0.8967916667,0,0.265,0.8967916667,0,2.669991544,0.8967916667
Arn,3,0,0.127,0.8964583333,0,0.223463727,0.8964583333,0,0.245,0.8964583333,0,2.197329648,0.8964583333
Arn,4,0,0.125,0.8967916667,0,0.213929137,0.8967916667,0,0.256,0.8967916667,0,2.666730792,0.8967916667
Arnes,0,0,0.699,0.90257175,0,1.425016003,0.9025455,0,0.778,0.902592,0,7.664051642,0.902606125
Arnes,1,0,0.611,0.90529425,0,1.452961962,0.905294,0,0.669,0.905321,0,8.607773006,0.905337
Arnes,2,0,0.56,0.90072625,0,1.662628435,0.9007095,0,0.709,0.900753125,0,7.430594594,0.9006885
Arnes,3,0,0.682,0.9032,0,1.728619346,0.90324975,0,0.786,0.903266625,0,8.17887354,0.903247
Arnes,4,0,0.423,0.904485,0,1.492890575,0.904470125,0,0.582,0.904454875,0,6.737858971,0.904502125
Arpanet196912,0,0,0.051,0.962446,0,0.031086481,0.962446,0,0.033,0.962446,0,0.149484576,0.962446
Arpanet196912,1,0,0.06,1.132629,0,0.031191196,1.132629,0,0.031,1.132629,0,0.146993518,1.132629
Arpanet196912,2,0,0.05,0.923963,0,0.031795419,0.923963,0,0.033,0.923963,0,0.164680374,0.923963
Arpanet196912,3,0,0.05,0.961027,0,0.031663302,0.961027,0,0.032,0.961027,0,0.162878746,0.961027
Arpanet196912,4,0,0.05,1.208269,0,0.032882847,1.208269,0,0.032,1.208269,0,0.14626958,1.208269
Arpanet19706,0,0,0.067,0.899989,0,0.060473823,0.899989,0,0.042,0.899989,0,0.197457779,0.899989
Arpanet19706,1,0,0.078,0.899991,0,0.036441766,0.899991,0,0.045,0.899991,0,0.189929311,0.899991
Arpanet19706,2,0,0.071,0.899989,0,0.045624039,0.899989,0,0.045,0.899989,0,0.187462039,0.899989
Arpanet19706,3,0,0.097,0.899991,0,0.035267458,0.899991,0,0.045,0.899991,0,0.19856727,0.899991
Arpanet19706,4,0,0.068,0.899991,0,0.035591591,0.899991,0,0.04,0.899991,0,0.235574355,0.899991
Arpanet19719,0,0,0.198,0.9000515,0,0.253354341,0.90000825,0,0.229,0.89999125,0,0.682213562,0.9000765
Arpanet19719,1,0,0.213,0.9000235,0,0.199941421,0.899991,0,0.177,0.900038,0,0.723120719,0.9000275
Arpanet19719,2,0,0.204,0.90001,0,0.318280542,0.9000645,0,0.243,0.900047,0,0.769004887,0.9000345
Arpanet19719,3,0,0.221,0.900033,0,0.253137966,0.9000075,0,0.184,0.900067,0,0.667030435,0.90003
Arpanet19719,4,0,0.253,0.900056,0,0.20473317,0.900008,0,0.193,0.9000405,0,0.816593286,0.900037
Arpanet19723,0,0,0.356,0.8999955,0,0.521470903,0.900001,0,0.608,0.900035,0,1.746872467,0.899961
Arpanet19723,1,0,0.49,0.90001575,0,0.494305671,0.8999855,0,0.526,0.90002525,0,1.766248046,0.89996825
Arpanet19723,2,0,0.397,0.899974,0,0.516283085,0.900035,0,0.426,0.89998925,0,1.724807966,0.90005475
Arpanet19723,3,0,0.321,0.89997525,0,0.526591021,0.900016,0,0.39,0.899966,0,1.771029858,0.9000255
Arpanet19723,4,0,0.42,0.89998675,0,0.734226602,0.90001275,0,0.428,0.89998075,0,2.078036093,0.899987
Arpanet19728,0,0,1.5,0.900033,0,1.646337593,0.90002725,0,1.315,0.900009,0,4.366280755,0.8999915
Arpanet19728,1,0,1.251,0.90002375,0,1.680297376,0.899979,0,1.03,0.8999855,0,3.452946208,0.90061
Arpanet19728,2,0,1.443,0.9000015,0,3.130831446,0.90001325,0,1.841,0.89999275,0,3.415107752,0.90094425
Arpanet19728,3,0,1.079,0.89996825,0,2.520320166,0.900022,0,1.169,0.90002025,0,4.506015844,0.90004875
Arpanet19728,4,0,0.881,0.900043,0,2.061006339,0.9000215,0,1.049,0.90003275,0,3.74391667,0.89998425
AsnetAm,0,0,1.766,0.899725,0,3.93594563,0.899725,0,4.31,0.899725,0,146.809555477,0.899725
