Topology,DemandFile,ExitCode_SRPP,Time_SRPP,Umax_SRPP,ExitCode_full,Time_full,Umax_full,ExitCode_CG4SR,Time_CG4SR,Umax_CG4SR
Arnes,0002,0,2.6510000000000002,0.90002575,0,19.428,0.900041125,0,7.425557247,0.900061125
Arnes,0003,0,2.717,0.900036625,0,18.488,0.900031125,0,7.556646067,0.900059
Arnes,0004,0,1.786,0.90007875,0,17.602,0.90006125,0,6.683117051,0.900075125
Arpanet196912,0000,0,0.049,0.962446,0,0.036,0.962446,0,0.146469061,0.962446
Arpanet196912,0001,0,0.056999999999999995,1.132629,0,0.041,1.132629,0,0.152229571,1.132629
Arpanet196912,0002,0,0.08499999999999999,0.923963,0,0.036,0.923963,0,0.171263884,0.923963
Arpanet196912,0003,0,0.064,0.961027,0,0.041,0.961027,0,0.154333604,0.961027
Arpanet196912,0004,0,0.048,1.208269,0,0.041,1.208269,0,0.149340947,1.208269
Arpanet19706,0000,0,0.062,0.899989,0,0.135,0.8999889999999999,0,0.202930818,0.899989
Arpanet19706,0001,0,0.107,0.899991,0,0.085,0.899991,0,0.201982225,0.899991
Arpanet19706,0002,0,0.095,0.899989,0,0.095,0.899989,0,0.18555819,0.899989
Arpanet19706,0003,0,0.065,0.899991,0,0.087,0.899991,0,0.190905047,0.899991
Arpanet19706,0004,0,0.063,0.899991,0,0.131,0.899991,0,0.189661108,0.899991
Arpanet19719,0000,0,0.576,0.900052,0,1.547,0.900016,0,0.745034607,0.9000245
Arpanet19719,0001,0,0.6629999999999999,0.899988,0,1.646,0.8999805,0,0.814660852,0.9000275
Arpanet19719,0002,0,0.8019999999999999,0.89998325,0,1.648,0.90003325,0,0.743659162,0.9000345
Arpanet19719,0003,0,0.61,0.90004,0,1.695,0.900031,0,0.842791437,0.90003
Arpanet19719,0004,0,0.579,0.9000125,0,1.654,0.9000495,0,0.98794172,0.899994
Arpanet19723,0000,0,1.144,0.900009,0,7.18,0.899986,0,2.038547987,0.899961
Arpanet19723,0001,0,1.329,0.89997225,0,6.984,0.8999985,0,1.878255316,0.89999875
Arpanet19723,0002,0,1.417,0.89999975,0,6.607,0.90000375,0,1.937584014,0.90005475
Arpanet19723,0003,0,1.3739999999999999,0.8999595,0,6.617,0.89999975,0,1.787810323,0.9000255
Arpanet19723,0004,0,1.045,0.89999175,0,6.96,0.89999775,0,2.005387937,0.899987
Arpanet19728,0000,0,8.873,0.900013,0,21.179,0.8999785,0,3.82564962,0.90005625
Arpanet19728,0001,0,13.299,0.900043,0,19.882,0.90001925,0,3.496773559,0.90061
Arpanet19728,0002,0,6.31,0.90002375,0,19.374,0.900027,0,3.239171026,0.90094425
Arpanet19728,0003,0,15.552999999999999,0.90000725,0,19.418,0.900014,0,4.397453261,0.90004525
Arpanet19728,0004,0,6.053,0.90000075,0,19.0,0.900052,0,3.56449383,0.90004525
AsnetAm,0000,0,19.976000000000003,0.899725,0,952.214,0.899725,0,142.959170189,0.899725
AsnetAm,0001,0,17.674,0.899732,0,938.272,0.8997319999998581,0,146.773032043,0.899732
AsnetAm,0002,0,14.218,0.899717,0,1063.564,0.899717,0,152.138414284,0.899717
AsnetAm,0003,0,18.082,0.899718,0,964.108,0.899718,0,147.719215521,0.899718
