Topology,DemandFile,Preprocessing time,ILP solve time,Total  time,uMax
Bandcon,0002,0.003,0.285,0.288,0.900007
Bandcon,0003,0.003,0.175,0.178,1.057406
Bandcon,0004,0.003,0.226,0.229,0.899988
Basnet,0000,0.0,0.028,0.028,0.8997419354838709
Basnet,0001,0.0,0.029,0.029,0.8996129032258064
Basnet,0002,0.0,0.027,0.027,0.8996129032258064
Basnet,0003,0.0,0.029,0.029,0.8996129032258064
Basnet,0004,0.0,0.029,0.029,0.8997419354838709
Bbnplanet,0000,0.004,0.22,0.224,0.8990666666666667
Bbnplanet,0001,0.003,0.269,0.272,0.8991333333333333
Bbnplanet,0002,0.004,0.216,0.22,0.899
Bbnplanet,0003,0.007,0.264,0.271,0.8989555555555555
Bbnplanet,0004,0.003,0.275,0.278,0.8989777777777777
Bellcanada,0000,0.017,2.232,2.249,0.899931
Bellcanada,0001,0.018,2.145,2.163,0.899909
Bellcanada,0002,0.018,2.491,2.509,0.899888
Bellcanada,0003,0.018,2.192,2.21,0.899915
Bellcanada,0004,0.017,2.252,2.269,0.899907
Bellsouth,0000,0.034,1.413,1.447,0.899881
Bellsouth,0001,0.018,1.434,1.452,0.899906
Bellsouth,0002,0.02,1.311,1.331,0.899886
Bellsouth,0003,0.019,1.393,1.412,0.8998809999999999
Bellsouth,0004,0.019,1.41,1.429,0.899905
Belnet2003,0000,0.003,0.204,0.207,2.4653276
Belnet2003,0001,0.003,0.214,0.217,3.254952
Belnet2003,0002,0.003,0.206,0.209,3.021500399999999
Belnet2003,0003,0.003,0.193,0.196,1.723648
Belnet2003,0004,0.003,0.266,0.269,2.902152
Belnet2004,0000,0.004,0.21,0.214,3.1735944
Belnet2004,0001,0.003,0.289,0.292,1.2184356
Belnet2004,0002,0.003,0.294,0.297,2.3108296
Belnet2004,0003,0.003,0.216,0.219,2.162098
Belnet2004,0004,0.004,0.372,0.376,2.3697643999999998
Belnet2005,0000,0.003,0.214,0.217,1.082918
Belnet2005,0001,0.003,0.687,0.69,0.9000526
Belnet2005,0002,0.003,0.56,0.563,0.900078
Belnet2005,0003,0.003,0.373,0.376,1.069397
Belnet2005,0004,0.003,0.255,0.258,1.4533799999999992
Belnet2006,0000,0.003,0.293,0.296,1.071694
Belnet2006,0001,0.002,0.219,0.221,4.255964
Belnet2006,0002,0.002,0.228,0.23,1.1469392
Belnet2006,0003,0.003,0.228,0.231,1.407712
Belnet2006,0004,0.005,0.594,0.599,0.9000883
Belnet2007,0000,0.004,0.257,0.261,0.899994
Belnet2007,0001,0.003,0.221,0.224,0.899994
Belnet2007,0002,0.003,0.215,0.218,0.899989
Belnet2007,0003,0.003,0.212,0.215,0.900041
Belnet2007,0004,0.002,0.159,0.161,0.900025
Belnet2008,0000,0.002,0.218,0.22,0.900015
Belnet2008,0001,0.003,0.278,0.281,0.91978
Belnet2008,0002,0.002,0.176,0.178,0.899996
Belnet2008,0003,0.003,0.268,0.271,0.900015
Belnet2008,0004,0.003,0.164,0.167,0.899989
Belnet2009,0000,0.003,0.223,0.226,0.900038
Belnet2009,0001,0.003,0.165,0.168,0.90005
Belnet2009,0002,0.003,0.217,0.22,0.900057
Belnet2009,0003,0.003,0.217,0.22,0.900008
Belnet2009,0004,0.004,0.265,0.269,0.900015
Belnet2010,0000,0.003,0.287,0.29,0.899996
Belnet2010,0001,0.004,0.244,0.248,0.900009
Belnet2010,0002,0.003,0.251,0.254,0.911675
Belnet2010,0003,0.003,0.276,0.279,0.9000589999999999
Belnet2010,0004,0.002,0.188,0.19,0.899984
BeyondTheNetwork,0000,0.024,2.631,2.655,1.030077
BeyondTheNetwork,0001,0.02,2.747,2.767,0.899971
BeyondTheNetwork,0002,0.02,2.48,2.5,0.899982
BeyondTheNetwork,0003,0.023,2.619,2.642,0.899935
BeyondTheNetwork,0004,0.019,2.132,2.151,0.9073169999999999
Bics,0000,0.007,0.652,0.659,0.90001
Bics,0001,0.007,0.719,0.726,0.900018
Bics,0002,0.007,0.661,0.668,0.9000149999999999
Bics,0003,0.006,0.592,0.598,0.899995
Bics,0004,0.007,0.582,0.589,0.899977
Biznet,0000,0.005,0.578,0.583,0.900007
Biznet,0001,0.005,0.364,0.369,0.900021
Biznet,0002,0.005,0.561,0.566,0.899985
Biznet,0003,0.004,0.546,0.55,0.899976
Biznet,0004,0.008,0.445,0.453,0.899958
Bren,0000,0.01,0.484,0.494,0.8999410112359547
Bren,0001,0.009,0.49,0.499,0.8999311797752809
Bren,0002,0.009,0.475,0.484,0.899941011235955
Bren,0003,0.009,0.478,0.487,0.8999269662921349
Bren,0004,0.009,0.593,0.602,0.899968
BsonetEurope,0000,0.002,0.154,0.156,0.97846
BsonetEurope,0001,0.002,0.171,0.173,1.091036
BsonetEurope,0002,0.003,0.171,0.174,0.915264
BsonetEurope,0003,0.002,0.118,0.12,1.06848
BsonetEurope,0004,0.002,0.106,0.108,1.046675
BtAsiaPac,0000,0.003,2.251,2.254,0.90008
BtAsiaPac,0001,0.003,2.526,2.529,0.900162
BtAsiaPac,0002,0.003,3.289,3.292,0.900074
BtAsiaPac,0003,0.003,2.347,2.35,0.900076
BtAsiaPac,0004,0.003,1.375,1.378,0.9000229999999999
BtEurope,0000,0.003,0.277,0.28,0.899996
BtEurope,0001,0.004,0.494,0.498,0.900041
BtEurope,0002,0.003,0.437,0.44,0.90005
BtEurope,0003,0.003,0.52,0.523,0.900046
BtEurope,0004,0.003,0.288,0.291,1.131795
BtLatinAmerica,0000,0.015,1.061,1.076,0.899748
BtLatinAmerica,0001,0.015,1.097,1.112,0.899738
BtLatinAmerica,0002,0.016,1.074,1.09,0.899758
BtLatinAmerica,0003,0.015,1.096,1.111,0.899746
BtLatinAmerica,0004,0.015,1.09,1.105,0.89975
BtNorthAmerica,0000,0.008,55.632,55.64,0.900069
BtNorthAmerica,0001,0.009,21.404,21.413,0.900075
BtNorthAmerica,0002,0.01,27.709,27.719,0.900042
BtNorthAmerica,0003,0.009,1326.25,1326.259,0.900072
BtNorthAmerica,0004,0.008,7.569,7.577,0.900041
Canerie,0000,0.007,0.49,0.497,0.899953
Canerie,0001,0.006,0.399,0.405,0.900002
Canerie,0002,0.007,0.468,0.475,0.900011
Canerie,0003,0.008,0.49,0.498,0.899986
Canerie,0004,0.007,0.568,0.575,0.899945
Carnet,0000,0.015,0.625,0.64,0.899842
Carnet,0001,0.015,0.609,0.624,0.899832
Carnet,0002,0.024,0.666,0.69,0.899832
Carnet,0003,0.021,0.731,0.752,0.899839
Carnet,0004,0.014,0.622,0.636,0.899834
Cernet,0000,0.011,0.609,0.62,1.3497999999999999
Cernet,0001,0.011,0.585,0.596,1.1321548387096774
Cernet,0002,0.011,0.719,0.73,1.037644630217289
Cernet,0003,0.012,0.622,0.634,1.3497161290322581
Cernet,0004,0.012,0.781,0.793,1.3498258064516129
Cesnet1993,0000,0.0,0.036,0.036,0.8981666666666667
Cesnet1993,0001,0.0,0.06,0.06,0.8975
Cesnet1993,0002,0.001,0.034,0.035,0.8975
Cesnet1993,0003,0.0,0.062,0.062,0.8975
Cesnet1993,0004,0.001,0.075,0.076,0.8985
Cesnet1997,0000,0.001,0.05,0.051,0.8994705882352941
Cesnet1997,0001,0.001,0.082,0.083,0.8995
Cesnet1997,0002,0.002,0.093,0.095,0.8994705882352941
Cesnet1997,0003,0.002,0.093,0.095,0.8993529411764706
Cesnet1997,0004,0.001,0.05,0.051,0.8993823529411765
Cesnet1999,0000,0.001,0.043,0.044,0.8998774193548387
Cesnet1999,0001,0.001,0.044,0.045,0.8998529411764706
Cesnet1999,0002,0.0,0.043,0.043,0.89925
Cesnet1999,0003,0.0,0.043,0.043,0.8992258064516129
Cesnet1999,0004,0.001,0.042,0.043,0.8998529411764706
Cesnet2001,0000,0.003,0.132,0.135,1.0581070126807588
Cesnet2001,0001,0.006,0.183,0.189,1.0581070126807588
Cesnet2001,0002,0.003,0.136,0.139,1.0581092801387684
Cesnet2001,0003,0.003,0.2,0.203,1.0581002103067303
Cesnet2001,0004,0.005,0.208,0.213,1.0581070126807588
Cesnet200304,0000,0.004,0.426,0.43,0.900048
Cesnet200304,0001,0.004,0.297,0.301,0.8999583333333333
Cesnet200304,0002,0.005,0.33,0.335,0.900042
Cesnet200304,0003,0.005,0.343,0.348,0.9000303999999999
Cesnet200304,0004,0.005,0.241,0.246,0.8999533333333334
Cesnet200511,0000,0.014,0.64,0.654,0.9000079999999999
Cesnet200511,0001,0.011,0.588,0.599,0.9000888
Cesnet200511,0002,0.01,0.552,0.562,0.9000484
Cesnet200511,0003,0.011,0.592,0.603,0.9000897994679578
Cesnet200511,0004,0.01,0.668,0.678,0.9000352
Cesnet200603,0000,0.011,0.584,0.595,0.9000627999999999
Cesnet200603,0001,0.01,0.565,0.575,0.899922
Cesnet200603,0002,0.01,0.568,0.578,0.9000324000000001
Cesnet200603,0003,0.011,0.833,0.844,0.9000530112372968
Cesnet200603,0004,0.013,0.723,0.736,0.9000248000000001
Cesnet200706,0000,0.014,0.871,0.885,0.900028
Cesnet200706,0001,0.014,0.791,0.805,0.9000348
Cesnet200706,0002,0.014,0.823,0.837,0.9000088106418597
Cesnet200706,0003,0.014,0.873,0.887,0.9000166617088632
Cesnet200706,0004,0.02,0.931,0.951,0.9000341085244268
Cesnet201006,0000,0.021,1.447,1.468,0.8999952684204715
Cesnet201006,0001,0.018,1.488,1.506,0.8999688122768716
Cesnet201006,0002,0.019,1.493,1.512,0.9000537771995867
Cesnet201006,0003,0.019,1.692,1.711,0.9000196894761022
Cesnet201006,0004,0.019,1.484,1.503,0.9000196894761022
Chinanet,0000,0.012,1.91,1.922,0.900064
Chinanet,0001,0.014,2.188,2.202,1.192499
Chinanet,0002,0.013,1.673,1.686,0.900051
Chinanet,0003,0.013,2.209,2.222,0.900075
Chinanet,0004,0.011,1.012,1.023,1.260922
Claranet,0000,0.002,0.292,0.294,0.900059
Claranet,0001,0.001,0.124,0.125,0.900031
Claranet,0002,0.001,0.126,0.127,0.900045
Claranet,0003,0.001,0.53,0.531,0.900015
Claranet,0004,0.001,0.084,0.085,0.900001
Cogentco,0000,0.456,544.568,545.024,0.89857
Cogentco,0001,0.464,571.461,571.925,0.898584
Cogentco,0002,0.44,574.981,575.421,0.898574
Cogentco,0003,0.463,557.774,558.237,0.898513
Cogentco,0004,0.441,589.276,589.717,0.898544
Colt,0000,0.152,130.502,130.654,0.898681
Colt,0001,0.163,125.138,125.301,0.898636
Colt,0002,0.151,130.77,130.921,0.898775
Colt,0003,0.153,122.181,122.334,0.89864
Colt,0004,0.158,132.548,132.706,0.898713
Columbus,0000,0.025,10.137,10.162,0.899801
Columbus,0001,0.042,8.598,8.64,0.899731
Columbus,0002,0.025,10.268,10.293,0.899745
Columbus,0003,0.024,8.523,8.547,0.89974
Columbus,0004,0.026,10.083,10.109,0.899761
Compuserve,0000,0.001,0.439,0.44,0.8999555555555555
Compuserve,0001,0.002,0.561,0.563,0.8998888888888888
Compuserve,0002,0.001,0.303,0.304,0.9127333333333333
Compuserve,0003,0.001,0.191,0.192,0.9533333333333334
Compuserve,0004,0.001,0.09,0.091,0.9736666666666667
CrlNetworkServices,0000,0.006,0.788,0.794,0.8991333333333333
CrlNetworkServices,0001,0.006,0.807,0.813,0.8986444444444442
CrlNetworkServices,0002,0.006,0.768,0.774,0.8986666666666666
CrlNetworkServices,0003,0.006,0.686,0.692,0.8986
CrlNetworkServices,0004,0.007,0.554,0.561,0.8986666666666666
Cudi,0000,0.036,1.23,1.266,0.8998870833333332
Cudi,0001,0.019,1.165,1.184,0.8999529166666667
Cudi,0002,0.021,1.236,1.257,0.8998883333333333
Cudi,0003,0.031,1.23,1.261,0.8998845833333333
Cudi,0004,0.022,1.151,1.173,0.8998883333333332
Cwix,0000,0.011,0.648,0.659,0.8988222222222216
Cwix,0001,0.008,0.759,0.767,0.8989333333333334
Cwix,0002,0.009,0.818,0.827,0.8989111111111111
Cwix,0003,0.009,0.689,0.698,0.8988444444444444
Cwix,0004,0.008,0.565,0.573,0.8989333333333334
Cynet,0000,0.005,0.204,0.209,0.8994971804511278
Cynet,0001,0.005,0.205,0.21,0.8994501879699248
Cynet,0002,0.004,0.192,0.196,0.8994736842105263
Cynet,0003,0.005,0.209,0.214,0.8995112781954887
Cynet,0004,0.005,0.214,0.219,0.8994736842105263
Darkstrand,0000,0.004,0.348,0.352,0.899992
Darkstrand,0001,0.005,0.422,0.427,0.899971
Darkstrand,0002,0.004,0.515,0.519,0.899957
Darkstrand,0003,0.004,0.481,0.485,0.8999699999999999
Darkstrand,0004,0.007,0.421,0.428,0.900005
Dataxchange,0000,0.0,0.038,0.038,1.0392666666666666
Dataxchange,0001,0.0,0.038,0.038,1.0802222222222222
Dataxchange,0002,0.0,0.038,0.038,1.2024
Dataxchange,0003,0.0,0.032,0.032,0.8999333333333334
Dataxchange,0004,0.0,0.04,0.04,1.432511111111111
Deltacom,0000,0.086,81.725,81.811,0.995814
Deltacom,0001,0.088,66.391,66.479,1.0214299999999998
Deltacom,0002,0.092,72.266,72.358,0.899667
Deltacom,0003,0.097,67.53,67.627,1.095127
Deltacom,0004,0.086,62.553,62.639,1.103633
DeutscheTelekom,0000,0.005,0.778,0.783,0.900018
DeutscheTelekom,0001,0.005,0.376,0.381,0.899957
DeutscheTelekom,0002,0.005,0.349,0.354,0.899957
DeutscheTelekom,0003,0.005,0.45,0.455,0.899961
DeutscheTelekom,0004,0.005,0.457,0.462,0.89996
Dfn,0000,0.02,2.745,2.765,0.900012
Dfn,0001,0.031,6.681,6.712,0.92596
Dfn,0002,0.023,4.276,4.299,0.977581
Dfn,0003,0.027,4.162,4.189,0.958014
Dfn,0004,0.021,4.681,4.702,0.967341
DialtelecomCz,0000,0.115,138.284,138.399,0.899273
DialtelecomCz,0001,0.13,168.703,168.833,0.8992629999999999
DialtelecomCz,0002,0.121,154.741,154.862,0.899289
DialtelecomCz,0003,0.132,149.333,149.465,0.899292
DialtelecomCz,0004,0.126,149.906,150.032,0.899236
Digex,0000,0.006,0.451,0.457,0.8989333333333334
Digex,0001,0.006,0.431,0.437,0.8988222222222222
Digex,0002,0.005,0.484,0.489,0.8988444444444444
Digex,0003,0.01,0.54,0.55,0.8987777777777778
Digex,0004,0.006,0.541,0.547,0.8988
Easynet,0000,0.002,0.16,0.162,0.900062
