Topology,ExitCode,TotalTime,nbPaths,Nodes,Edges,maxPaths,percentagePaths
Iinet,0,0.292,38602,31,70,21172380,0.18232244084037788%
Ilan,0,0.039,1532,14,30,266630,0.5745790046131344%
Integra,0,10.133,377851,27,72,10127052,3.7311055576687076%
Intellifiber,0,2969.899,8936116,73,194,1828940832,0.48859513898151075%
Internetmci,0,1.004,80705,19,90,1494540,5.399989294364822%
Internode,0,0.51,69086,66,156,1090007490,0.006338121584834247%
Interoute,1,3632.594,-,110,316,14826845990,-
Intranetwork,0,6.737,350441,39,106,71121180,0.4927378876447213%
Ion,1,3613.467,-,125,300,28378268000,-
IowaStatewideFiberMap,0,6.374,358009,33,82,29496192,1.2137465066677082%
Iris,0,231.922,2465177,51,128,288012300,0.8559276808664075%
Istar,0,0.063,854,23,46,4261532,0.020039741576503473%
Itnet,0,0.021,110,11,20,64460,0.17064846416382254%
Janetbackbone,0,352.747,1715420,29,90,14843360,11.556817324379386%
JanetExternal,0,0.024,90,10,18,36090,0.24937655860349126%
Janetlense,0,9.618,287861,20,80,1983980,14.509269246665793%
Jgn2Plus,0,0.036,306,18,34,1106802,0.02764722145424385%
Karen,0,0.123,12806,25,60,6693600,0.19131707900083664%
KentmanApr2007,0,0.076,4392,22,48,3345342,0.1312870253624293%
KentmanAug2005,0,0.062,4142,27,58,10127052,0.04090035283713365%
KentmanFeb2008,0,0.088,6180,26,56,8268650,0.0747401329116603%
KentmanJan2011,0,0.077,2216,38,78,62056622,0.0035709323656063652%
KentmanJul2005,0,0.039,1176,16,34,571440,0.20579588408231836%
Kreonet,0,0.03,156,13,24,173472,0.08992805755395684%
LambdaNet,0,0.681,83060,42,92,104837082,0.07922769159103456%
Latnet,0,0.405,25968,69,148,1369688640,0.0018959053350986396%
Layer42,0,0.033,126,6,14,1230,10.24390243902439%
Litnet,0,0.092,3256,43,86,118549452,0.0027465331514143145%
Marnet,0,0.03,380,20,54,1983980,0.01915341888527102%
Marwan,0,0.056,4486,16,36,571440,0.7850342993140138%
Missouri,0,3157.553,9805333,67,166,1177605132,0.8326503284973795%
Mren,0,0.017,30,6,10,1230,2.4390243902439024%
Myren,0,0.135,12194,37,80,53940672,0.022606318289842588%
Napnet,0,0.019,126,6,14,1230,10.24390243902439%
Navigata,0,0.081,7808,13,34,173472,4.501014572957019%
Netrail,0,0.026,686,7,20,3612,18.992248062015506%
NetworkUsa,0,0.303,35100,35,78,40252940,0.0871985996550811%
Nextgen,0,0.062,2384,17,40,804032,0.29650561171694656%
Niif,0,0.076,3040,36,82,46696860,0.006510073696604011%
Noel,0,0.411,38428,19,50,1494540,2.5712259290484027%
Nordu1989,0,0.018,42,7,12,3612,1.1627906976744187%
Nordu1997,0,0.028,182,14,26,266630,0.06825938566552901%
Nordu2005,0,0.02,112,9,20,18720,0.5982905982905984%
Nordu2010,0,0.03,304,15,30,396060,0.07675604706357622%
Nsfcnet,0,0.024,272,9,20,18720,1.452991452991453%
Nsfnet,0,0.054,3132,13,30,173472,1.8054786939679026%
Ntelos,0,235.394,2463911,47,122,188452892,1.3074413312797555%
Ntt,0,3232.917,3728465,32,432,25058912,14.878798409124865%
Oteglobe,1,3601.727,-,83,204,3528788492,-
Oxford,0,0.243,21263,20,52,1983980,1.0717345940987308%
Pacificwave,0,0.052,898,18,54,1106802,0.08113465642454566%
Packetexchange,0,0.249,26114,21,54,2593920,1.0067388354305453%
Padi,0,0.017,42,7,12,3612,1.1627906976744187%
Palmetto,0,2213.419,5330783,45,140,150274080,3.5473735723419506%
Peer1,0,0.215,21247,16,40,571440,3.71815063698726%
Pern,0,3.315,334049,127,258,30757860252,0.0010860605947979713%
PionierL1,0,2.661,213515,36,82,46696860,0.45723631096394923%
PionierL3,0,4.996,322570,38,104,62056622,0.5197994824790817%
Psinet,0,0.082,5100,24,50,5368200,0.09500391192578518%
Quest,0,6.296,232707,20,62,1983980,11.72930170667043%
RedBestel,0,1313.151,6679957,84,202,3751528620,0.1780596038742202%
Rediris,0,0.296,30397,19,64,1494540,2.0338699532966666%
Renam,0,0.015,20,5,8,320,6.25%
Renater1999,0,0.038,552,24,46,5368200,0.010282776349614397%
Renater2001,0,0.054,3440,24,54,5368200,0.06408107000484334%
Renater2004,0,0.647,73997,30,72,17783670,0.41609521544203193%
Renater2006,0,4.691,291032,33,86,29496192,0.9866765174297752%
Renater2008,0,4.58,291032,33,86,29496192,0.9866765174297752%
Renater2010,0,177.805,2004336,43,112,118549452,1.6907172206920027%
Restena,0,0.063,1492,19,42,1494540,0.09983004804153786%
Reuna,0,0.068,1332,37,72,53940672,0.0024693796918214142%
Rhnet,0,0.043,1726,16,36,571440,0.3020439591208176%
Rnp,0,0.139,14498,31,68,21172380,0.06847600505942175%
Roedunet,0,0.095,1722,42,100,104837082,0.0016425485783742055%
RoedunetFibre,0,3.288,286378,48,104,210252432,0.13620674789626216%
Sago,0,0.033,306,18,34,1106802,0.02764722145424385%
Sanet,0,0.351,38770,43,90,118549452,0.032703651805999066%
Sanren,0,0.02,84,7,14,3612,2.3255813953488373%
Savvis,0,0.052,2628,19,40,1494540,0.17584005781042997%
Shentel,0,1.795,144876,28,70,12305412,1.1773356308590075%
Sinet,0,0.98,137497,74,152,1961061050,0.007011357448560818%
Singaren,0,0.022,110,11,20,64460,0.17064846416382254%
Spiralight,0,0.064,2458,15,32,396060,0.6206130384285209%
Sprint,0,0.264,15922,11,36,64460,24.700589512876203%
Sunet,0,1.01,87132,26,98,8268650,1.0537633108185738%
Surfnet,0,1363.371,5003511,50,146,259898450,1.925179238275565%
Switch,1,3600.118,-,74,184,1961061050,-
SwitchL3,0,64.897,1375387,42,126,104837082,1.311927968388132%
Syringa,0,0.512,10326,74,148,1961061050,0.0005265516848646808%
TataNld,1,3600.352,-,145,388,60209484480,-
Telcove,0,0.187,4970,71,140,1586056220,0.0003133558531739814%
Telecomserbia,0,0.02,126,6,12,1230,10.24390243902439%
Tinet,1,3603.725,-,53,178,351533312,-
TLex,0,0.029,324,12,32,108372,0.29897021370833793%
Tw,1,3838.038,-,71,236,1586056220,-
Twaren,0,0.074,1156,20,40,1983980,0.05826671639835079%
Ulaknet,0,0.225,6642,82,164,3316755762,0.0002002559270748016%
UniC,0,0.084,5835,25,58,6693600,0.08717282179992829%
Uninet,0,0.127,10575,13,50,173472,6.0960846707249585%
Uninett2010,0,653.06,5885793,74,202,1961061050,0.3001330835671842%
Uninett2011,0,603.154,5428924,69,196,1369688640,0.39636190601683025%
Uran,0,0.077,722,24,48,5368200,0.013449573413807234%
UsCarrier,1,3613.678,-,158,378,92974301942,-
UsSignal,1,3600.139,-,61,158,726641760,-
Uunet,1,3607.591,-,49,168,234024000,-
Vinaren,0,0.063,1358,25,52,6693600,0.020288036333213817%
VisionNet,0,0.045,552,24,46,5368200,0.010282776349614397%
VtlWavenet2008,0,595.157,4540412,88,184,4757721672,0.09543248455917663%
VtlWavenet2011,0,659.895,4967096,92,192,5969076932,0.08321380435510192%
WideJpn,0,0.076,1106,30,66,17783670,0.006219188727636084%
Xeex,0,8.874,320706,24,68,5368200,5.974181289817817%
Xspedius,0,226.844,1834337,34,98,34540770,5.310643045884618%
York,0,0.075,2926,23,48,4261532,0.06866075392605288%
Zamren,0,0.065,1190,35,68,40252940,0.0029563058002719804%
