Topology,DemandFile,ExitCode,PreprocessingTime,ILPTime,TotalTime,uMax
Basnet,0001,0,0.008,0.023,0.031,0.8996129032258064
Basnet,0002,0,0.009,0.043,0.052,0.8996129032258064
Basnet,0003,0,0.009,0.033,0.042,0.8996129032258064
Basnet,0004,0,0.011,0.024,0.035,0.8997419354838709
Bbnplanet,0000,0,0.055,0.222,0.277,0.8990555555555556
Bbnplanet,0001,0,0.054,0.252,0.306,0.8991555555555556
Bbnplanet,0002,0,0.054,0.183,0.237,0.898988888888889
Bbnplanet,0003,0,0.052,0.187,0.239,0.8989333333333334
Bbnplanet,0004,0,0.053,0.262,0.315,0.8989666666666667
Bellcanada,0000,0,0.476,34.559,35.035,0.899876
Bellcanada,0001,0,0.474,35.903,36.377,0.899953
Bellcanada,0002,0,0.471,33.14,33.611,0.8998775
Bellcanada,0003,0,0.466,36.205,36.671,0.8998745
Bellcanada,0004,0,0.484,51.369,51.853,0.899904
Bellsouth,0000,0,0.595,15.857,16.452,0.899881
Bellsouth,0001,0,0.532,16.286,16.818,0.899906
Bellsouth,0002,0,0.57,15.546,16.116,0.899886
Bellsouth,0003,0,0.543,15.637,16.18,0.899881
Bellsouth,0004,0,0.543,15.749,16.292,0.8998925
Belnet2003,0000,0,0.175,2.518,2.693,2.054439666666666
Belnet2003,0001,0,0.17,1.532,1.702,2.71246
Belnet2003,0002,0,0.179,1.602,1.781,2.5179169999999997
Belnet2003,0003,0,0.178,0.817,0.995,0.89999
Belnet2003,0004,0,0.177,1.558,1.735,2.41846
Belnet2004,0000,0,0.181,1.939,2.12,2.644662
Belnet2004,0001,0,0.169,7.113,7.282,1.1139222
Belnet2004,0002,0,0.165,11.793,11.958,2.0691312
Belnet2004,0003,0,0.174,3.152,3.326,1.8017483333333333
Belnet2004,0004,0,0.17,1.66,1.83,1.9748036666666664
Belnet2005,0000,0,0.164,24.332,24.496,1.0547244
Belnet2005,0001,0,0.169,1.998,2.167,0.9000558
Belnet2005,0002,0,0.172,2.445,2.617,0.9000806
Belnet2005,0003,0,0.162,3.694,3.856,0.92144525
Belnet2005,0004,0,0.171,4.557,4.728,1.3781444
Belnet2006,0000,0,0.166,7.351,7.517,1.071694
Belnet2006,0001,0,0.184,1.508,1.692,3.546636666666666
Belnet2006,0002,0,0.164,4.514,4.678,1.0639576
Belnet2006,0003,0,0.16,3.103,3.263,1.1730283333333333
Belnet2006,0004,0,0.162,4.71,4.872,0.9000201999999999
Belnet2007,0000,0,0.12,0.718,0.838,0.9000323666666664
Belnet2007,0001,0,0.11,0.775,0.885,0.8999806666666665
Belnet2007,0002,0,0.106,1.033,1.139,0.899986
Belnet2007,0003,0,0.103,0.707,0.81,0.900046
Belnet2007,0004,0,0.115,0.792,0.907,0.899991
Belnet2008,0000,0,0.204,0.94,1.144,0.9000096666666666
Belnet2008,0001,0,0.103,0.758,0.861,0.9000593333333335
Belnet2008,0002,0,0.103,0.724,0.827,0.90003
Belnet2008,0003,0,0.101,0.885,0.986,0.8999829999999999
Belnet2008,0004,0,0.104,0.818,0.922,0.90004
Belnet2009,0000,0,0.105,1.149,1.254,0.900048
Belnet2009,0001,0,0.102,1.027,1.129,0.899991
Belnet2009,0002,0,0.106,1.158,1.264,0.900006
Belnet2009,0003,0,0.108,0.997,1.105,0.900031
Belnet2009,0004,0,0.104,0.725,0.829,0.9000313333333332
Belnet2010,0000,0,0.109,0.635,0.744,0.9000229333333334
Belnet2010,0001,0,0.094,0.59,0.684,0.9000283333333333
Belnet2010,0002,0,0.094,0.896,0.99,0.900004
Belnet2010,0003,0,0.092,0.676,0.768,0.9000549999999999
Belnet2010,0004,0,0.095,0.67,0.765,0.900056
BeyondTheNetwork,0000,0,0.507,53.474,53.981,0.8999887499999999
BeyondTheNetwork,0001,0,0.504,32.85,33.354,0.8999690833333333
BeyondTheNetwork,0002,0,0.504,44.65,45.154,0.89999925
BeyondTheNetwork,0003,0,0.513,28.482,28.995,0.899994375
BeyondTheNetwork,0004,0,0.474,53.557,54.031,0.8999919166666667
Bics,0000,0,0.466,14.377,14.843,0.8999643333333331
Bics,0001,0,0.369,18.78,19.149,0.900029
Bics,0002,0,0.384,22.189,22.573,0.8999751666666667
Bics,0003,0,0.368,18.528,18.896,0.8999946666666666
Bics,0004,0,0.363,12.493,12.856,0.899948
Biznet,0000,0,0.093,1.178,1.271,0.900012
Biznet,0001,0,0.092,0.653,0.745,0.900007
Biznet,0002,0,0.092,0.637,0.729,0.8999765
Biznet,0003,0,0.088,1.063,1.151,0.899958
Biznet,0004,0,0.099,0.613,0.712,0.9000305
Bren,0000,0,0.058,0.126,0.184,0.8999578651685394
Bren,0001,0,0.057,0.153,0.21,0.899936797752809
Bren,0002,0,0.061,0.154,0.215,0.8999634831460674
Bren,0003,0,0.059,0.131,0.19,0.8999676966292135
Bren,0004,0,0.06,0.203,0.263,0.899996
BsonetEurope,0000,0,0.13,0.998,1.128,0.9000276666666666
BsonetEurope,0001,0,0.105,1.415,1.52,0.9000280833333333
BsonetEurope,0002,0,0.104,1.79,1.894,0.9000166666666665
BsonetEurope,0003,0,0.108,1.226,1.334,0.9000529166666666
BsonetEurope,0004,0,0.102,1.656,1.758,0.9000732499999999
BtAsiaPac,0000,0,0.15,12.37,12.52,0.9000800833333332
BtAsiaPac,0001,0,0.146,18.221,18.367,0.9000864999999999
BtAsiaPac,0002,0,0.149,12.105,12.254,0.900041625
BtAsiaPac,0003,0,0.144,5.432,5.576,0.9000660833333333
BtAsiaPac,0004,0,0.147,3.658,3.805,0.9000715
BtEurope,0000,0,0.254,6.54,6.794,0.8999905
BtEurope,0001,0,0.226,16.08,16.306,0.900049
BtEurope,0002,0,0.224,7.913,8.137,0.900018
BtEurope,0003,0,0.221,4.164,4.385,0.899993
BtEurope,0004,0,0.238,13.06,13.298,1.1317949999999999
BtLatinAmerica,0000,0,0.147,0.988,1.135,0.899748
BtLatinAmerica,0001,0,0.133,0.977,1.11,0.899738
BtLatinAmerica,0002,0,0.136,0.918,1.054,0.899758
BtLatinAmerica,0003,0,0.138,0.998,1.136,0.899746
BtLatinAmerica,0004,0,0.137,0.875,1.012,0.89975
BtNorthAmerica,0000,1,1.098,1807.421,1808.519,0.9000418805555555
BtNorthAmerica,0001,1,1.007,1805.606,1806.613,0.90005975
BtNorthAmerica,0002,0,1.045,941.531,942.576,0.900089
BtNorthAmerica,0003,1,1.025,1806.491,1807.516,0.9001148833333332
BtNorthAmerica,0004,0,0.969,1375.008,1375.977,0.900033
Canerie,0000,0,0.232,3.164,3.396,0.899945
Canerie,0001,0,0.207,2.49,2.697,0.899941
Canerie,0002,0,0.224,3.492,3.716,0.899948
Canerie,0003,0,0.216,3.518,3.734,0.899947
Canerie,0004,0,0.233,3.93,4.163,0.8999425
Carnet,0000,0,0.093,0.071,0.164,0.899842
Carnet,0001,0,0.051,0.052,0.103,0.899832
Carnet,0002,0,0.056,0.073,0.129,0.899832
Carnet,0003,0,0.054,0.053,0.107,0.899839
Carnet,0004,0,0.052,0.053,0.105,0.899834
Cernet,0000,0,0.105,0.55,0.655,0.9565677419354839
Cernet,0001,0,0.119,0.563,0.682,1.0418454885623882
Cernet,0002,0,0.106,0.444,0.55,1.0376387096774193
Cernet,0003,0,0.102,0.38,0.482,0.9492432
Cernet,0004,0,0.103,0.547,0.65,0.9283477555813401
Cesnet1993,0000,0,0.022,0.026,0.048,0.8981666666666667
Cesnet1993,0001,0,0.011,0.026,0.037,0.8975
Cesnet1993,0002,0,0.014,0.044,0.058,0.8975
Cesnet1993,0003,0,0.011,0.025,0.036,0.8975
Cesnet1993,0004,0,0.011,0.025,0.036,0.8985
Cesnet1997,0000,0,0.022,0.053,0.075,0.8994705882352941
Cesnet1997,0001,0,0.016,0.027,0.043,0.8995
Cesnet1997,0002,0,0.02,0.047,0.067,0.8994705882352941
Cesnet1997,0003,0,0.014,0.027,0.041,0.8993529411764706
Cesnet1997,0004,0,0.014,0.026,0.04,0.8993823529411765
Cesnet1999,0000,0,0.023,0.028,0.051,0.8998774193548387
Cesnet1999,0001,0,0.015,0.026,0.041,0.8998529411764706
Cesnet1999,0002,0,0.018,0.025,0.043,0.89925
Cesnet1999,0003,0,0.014,0.026,0.04,0.8992258064516129
Cesnet1999,0004,0,0.014,0.026,0.04,0.8998529411764706
Cesnet2001,0000,0,0.121,0.07,0.191,1.0581070126807588
