Topology,DemandFile,ExitCode,PreprocessingTime,ILPTime,TotalTime,uMax
Bandcon,0003,0,0.047,0.237,0.284,0.8999954999999998
Bandcon,0004,0,0.047,0.19,0.237,0.8999915
Basnet,0000,0,0.019,0.053,0.072,0.8997419354838709
Basnet,0001,0,0.019,0.04,0.059,0.8996129032258064
Basnet,0002,0,0.019,0.032,0.051000000000000004,0.8996129032258064
Basnet,0003,0,0.019,0.051,0.06999999999999999,0.8996129032258064
Basnet,0004,0,0.019,0.038,0.056999999999999995,0.8997419354838709
Bbnplanet,0000,0,0.046,0.189,0.235,0.8990666666666667
Bbnplanet,0001,0,0.046,0.257,0.303,0.8992
Bbnplanet,0002,0,0.046,0.254,0.3,0.899
Bbnplanet,0003,0,0.046,0.228,0.274,0.8989555555555555
Bbnplanet,0004,0,0.046,0.153,0.199,0.8989888888888888
Bellcanada,0000,0,0.189,2.109,2.298,0.899894
Bellcanada,0001,0,0.189,2.071,2.2600000000000002,0.8998815
Bellcanada,0002,0,0.189,2.088,2.277,0.8998775
Bellcanada,0003,0,0.189,2.041,2.23,0.8998745
Bellcanada,0004,0,0.189,2.15,2.339,0.899933
Bellsouth,0000,0,0.218,1.203,1.421,0.899881
Bellsouth,0001,0,0.218,1.145,1.363,0.899906
Bellsouth,0002,0,0.218,1.175,1.393,0.899886
Bellsouth,0003,0,0.218,1.181,1.399,0.899881
Bellsouth,0004,0,0.218,1.198,1.416,0.8998925
Belnet2003,0000,0,0.054,0.349,0.40299999999999997,2.054439666666666
Belnet2003,0001,0,0.054,0.284,0.33799999999999997,2.71246
Belnet2003,0002,0,0.054,0.395,0.449,2.517917
Belnet2003,0003,0,0.054,0.229,0.28300000000000003,0.89999
Belnet2003,0004,0,0.054,0.618,0.672,2.41846
Belnet2004,0000,0,0.056,0.463,0.519,2.644662
Belnet2004,0001,0,0.056,0.694,0.75,1.1139668
Belnet2004,0002,0,0.056,0.762,0.8180000000000001,2.0691312
Belnet2004,0003,0,0.056,0.337,0.393,1.8017483333333333
Belnet2004,0004,0,0.056,0.793,0.8490000000000001,1.9748036666666664
Belnet2005,0000,0,0.056,1.373,1.429,1.0547208
Belnet2005,0001,0,0.056,0.491,0.547,0.9000916999999999
Belnet2005,0002,0,0.056,1.904,1.96,0.9000451999999999
Belnet2005,0003,0,0.056,0.432,0.488,0.9214651666666667
Belnet2005,0004,0,0.056,0.585,0.641,1.3781443999999998
Belnet2006,0000,0,0.049,0.752,0.801,1.071694
Belnet2006,0001,0,0.049,0.333,0.382,3.5466366666666667
Belnet2006,0002,0,0.049,1.158,1.2069999999999999,1.1323209
Belnet2006,0003,0,0.049,0.639,0.6880000000000001,1.1730283333333333
Belnet2006,0004,0,0.049,0.431,0.48,0.9000572999999998
Belnet2007,0000,0,0.047,0.204,0.251,0.8999801999999997
Belnet2007,0001,0,0.047,0.278,0.325,0.8999943333333333
Belnet2007,0002,0,0.047,0.265,0.312,0.899986
Belnet2007,0003,0,0.047,0.243,0.29,0.900036
Belnet2007,0004,0,0.047,0.228,0.275,0.899993
Belnet2008,0000,0,0.05,0.27,0.32,0.8999833333333332
Belnet2008,0001,0,0.05,0.253,0.303,0.9000163333333334
Belnet2008,0002,0,0.05,0.205,0.255,0.9000039999999999
Belnet2008,0003,0,0.05,0.247,0.297,0.9000341666666667
Belnet2008,0004,0,0.05,0.259,0.309,0.900004
Belnet2009,0000,0,0.044,0.276,0.32,0.899996
Belnet2009,0001,0,0.044,0.334,0.378,0.8999780000000001
Belnet2009,0002,0,0.044,0.326,0.37,0.900022
Belnet2009,0003,0,0.044,0.264,0.308,0.899985
Belnet2009,0004,0,0.044,0.279,0.323,0.8999823333333331
Belnet2010,0000,0,0.045,0.304,0.349,0.900010666666666
Belnet2010,0001,0,0.045,0.249,0.294,0.9000363333333332
Belnet2010,0002,0,0.045,0.299,0.344,0.900064
Belnet2010,0003,0,0.045,0.204,0.249,0.9000315
