Topology,DemandFile,ExitCode,TotalTime,pre-uMax,post-uMax
AttMpls,0000,0,4.194534307,1.8143539944444442,0.9480421666666666
AttMpls,0001,0,132.509474514,2.033677,0.9043737083333333
AttMpls,0002,0,12.097275295,1.8807044375000002,0.9373379166666667
AttMpls,0003,0,6.226367492,1.70808515,0.9163249
AttMpls,0004,0,7.196435748,1.5650365624999998,0.9000491666666668
Azrena,0000,0,1.215052097,0.89996,0.89996
Azrena,0001,0,1.248300948,0.899949,0.899949
Azrena,0002,0,0.9400677,0.899956,0.899956
Azrena,0003,0,1.169670247,0.899946,0.899946
Azrena,0004,0,1.10733876,0.899962,0.899962
Bandcon,0000,0,1.466879607,1.341786,0.8999871666666667
Bandcon,0001,0,1.258051198,1.36596225,0.90006425
Bandcon,0002,0,1.300569223,1.3554525,0.9000125
Bandcon,0003,0,1.250375677,1.415791,0.8999988333333334
Bandcon,0004,0,1.31015927,1.4376165,0.8999995
Basnet,0000,0,0.187645096,0.8997419354838709,0.8997419354838709
Basnet,0001,0,0.170211441,0.8996129032258064,0.8996129032258064
Basnet,0002,0,0.175090869,0.8996129032258064,0.8996129032258064
Basnet,0003,0,0.168105655,0.8996129032258064,0.8996129032258064
Basnet,0004,0,0.161124462,0.8997419354838709,0.8997419354838709
Bbnplanet,0000,0,2.302451472,0.9072666666666667,0.8990666666666667
Bbnplanet,0001,0,2.132838482,1.1592555555555555,0.8991444444444444
Bbnplanet,0002,0,1.963590419,1.4006333333333334,0.8990111111111111
Bbnplanet,0003,0,2.074391206,1.3306,0.899
Bbnplanet,0004,0,2.230759831,1.3677777777777778,0.899
Bellcanada,0000,0,41.169926903,1.469394,0.899949
Bellcanada,0001,0,41.562439436,1.452509,0.8999205
Bellcanada,0002,0,43.768668591,1.337146,0.8999445
Bellcanada,0003,0,46.649423106,1.599112,0.899877
Bellcanada,0004,0,41.721384667,1.690513,0.899948
Bellsouth,0000,0,45.662049582,1.347594,0.899881
Bellsouth,0001,0,50.339900132,1.26125,0.899906
Bellsouth,0002,0,46.485591038,1.3044885,0.899886
Bellsouth,0003,0,44.675384542,0.98382675,0.899881
Bellsouth,0004,0,47.651948827,1.302733,0.899931
Belnet2003,0000,0,2.092201251,2.4653276,2.4653276
Belnet2003,0001,0,1.772782902,3.254952,3.254952
Belnet2003,0002,0,2.041055509,3.0215004,3.0215004
Belnet2003,0003,0,2.047518404,0.916029,0.89999
Belnet2003,0004,0,1.870340934,2.902152,2.902152
Belnet2004,0000,0,2.183597504,3.1735944,3.1735944
Belnet2004,0001,0,2.353390594,1.3974256,1.2184356
Belnet2004,0002,0,2.374512676,2.3108296,2.3108296
Belnet2004,0003,0,2.046536352,2.162098,2.162098
Belnet2004,0004,0,2.342712857,2.3697644,2.3697644
Belnet2005,0000,0,2.463178912,1.4111804,1.082918
Belnet2005,0001,0,2.380059882,1.1906645,0.9000828
Belnet2005,0002,0,2.504531712,1.2158712,0.9049864
Belnet2005,0003,0,2.245198447,1.2810081599999998,0.9872732
Belnet2005,0004,0,2.235249639,2.289784,1.45338
Belnet2006,0000,0,2.458831895,1.2965656,1.071694
