Topology,DemandFile,ExitCode,PreprocessingTime,ILPTime,TotalTime,uMax
Basnet,0000,0,0.007,0.054,0.061,0.8997419354838709
Basnet,0001,0,0.005,0.043,0.048,0.8996129032258064
Basnet,0002,0,0.006,0.095,0.101,0.8996129032258064
Basnet,0003,0,0.007,0.052,0.059,0.8996129032258064
Basnet,0004,0,0.005,0.045,0.05,0.8997419354838709
Bbnplanet,0000,0,0.044,5.902,5.946,0.8990666666666667
Bbnplanet,0001,0,0.044,5.707,5.751,0.8991333333333333
Bbnplanet,0002,0,0.054,5.925,5.979,0.8989999999999999
Bbnplanet,0003,0,0.044,5.735,5.779,0.8989222222222222
Bbnplanet,0004,0,0.045,5.787,5.832,0.8989666666666667
Bellcanada,0000,0,0.382,996.216,996.598,0.8999205
Bellcanada,0001,0,0.357,605.706,606.063,0.8998815
Bellcanada,0002,0,0.369,625.279,625.648,0.899954
Bellcanada,0003,0,0.376,616.899,617.275,0.8998745
Bellcanada,0004,0,0.331,591.161,591.492,0.8998774999999997
Bellsouth,0000,0,0.529,477.572,478.101,0.899881
Bellsouth,0001,0,0.392,478.146,478.538,0.899906
Bellsouth,0002,0,0.381,475.186,475.567,0.8998859999999999
Bellsouth,0003,0,0.371,442.527,442.898,0.899881
Bellsouth,0004,0,0.392,511.976,512.368,0.8998974999999999
Belnet2003,0000,0,0.063,5.643,5.706,2.054439666666666
Belnet2003,0001,0,0.083,4.722,4.805,2.71246
Belnet2003,0002,0,0.068,4.819,4.887,2.5179169999999997
Belnet2003,0003,0,0.052,3.764,3.816,0.89999
Belnet2003,0004,0,0.059,5.12,5.179,2.41846
Belnet2004,0000,0,0.058,4.857,4.915,2.644662
Belnet2004,0001,0,0.047,11.547,11.594,1.1139227999999999
Belnet2004,0002,0,0.058,14.587,14.645,2.0691312
Belnet2004,0003,0,0.045,5.414,5.459,1.801748333333333
Belnet2004,0004,0,0.046,5.369,5.415,1.9748036666666666
Belnet2005,0000,0,0.041,9.599,9.64,1.0547228
Belnet2005,0001,0,0.041,4.711,4.752,0.9000459999999999
