Topology,DemandFile,Exit code,Total  time,pre-uMax,post-uMax
AttMpls,0001,1,1801.129701703,2.033677,0.90010975
AttMpls,0002,0,13.960096098,1.8807044375000002,0.9000202833333333
AttMpls,0003,0,9.061447807,1.70808515,0.9000507499999999
AttMpls,0004,0,13.322483173,1.5650365624999998,0.9000483333333332
Azrena,0000,0,0.130521222,0.89996,0.89996
Azrena,0001,0,0.13859533,0.899949,0.899949
Azrena,0002,0,0.133536603,0.899956,0.899956
Azrena,0003,0,0.127112326,0.899946,0.899946
Azrena,0004,0,0.12731144,0.899962,0.899962
Bandcon,0000,0,0.374268585,1.341786,0.900057
Bandcon,0001,0,0.349452177,1.36596225,0.8999953333333333
Bandcon,0002,0,0.31905459,1.3554525,0.899976
Bandcon,0003,0,0.648520367,1.415791,0.900009
Bandcon,0004,0,0.353338681,1.4376165,0.90006
Basnet,0000,0,0.032337768,0.8997419354838709,0.8997419354838709
Basnet,0001,0,0.032319022,0.8996129032258064,0.8996129032258064
Basnet,0002,0,0.032268061,0.8996129032258064,0.8996129032258064
Basnet,0003,0,0.031917276,0.8996129032258064,0.8996129032258064
Basnet,0004,0,0.032454697,0.8997419354838709,0.8997419354838709
Bbnplanet,0000,0,0.402738012,0.9072666666666667,0.8991333333333333
Bbnplanet,0001,0,0.535247013,1.1592555555555555,0.8991222222222223
Bbnplanet,0002,0,0.505288747,1.4006333333333334,0.8990777777777778
Bbnplanet,0003,0,0.46493544,1.3306,0.8990111111111111
Bbnplanet,0004,0,0.64719721,1.3677777777777778,0.8990333333333334
Bellcanada,0000,0,15.255099469,1.469394,0.899957
Bellcanada,0001,0,11.690210176,1.452509,0.899886
Bellcanada,0002,0,28.28030884,1.337146,0.8998835
Bellcanada,0003,0,19.335594586,1.599112,0.89991
Bellcanada,0004,0,7.058961035,1.690513,0.8999565
Bellsouth,0000,0,2.743301258,1.347594,0.899881
Bellsouth,0001,0,2.743303152,1.26125,0.899906
Bellsouth,0002,0,1.874125698,1.3044885,0.899886
Bellsouth,0003,0,2.226965293,0.98382675,0.899881
Bellsouth,0004,0,2.802062858,1.302733,0.8999275
Belnet2003,0000,0,8.870478187,2.4653276,2.0544396666666667
Belnet2003,0001,0,1.068759449,3.254952,4.797262
Belnet2003,0002,0,13.792015162,3.0215004,2.517917
Belnet2003,0003,0,0.387775148,0.916029,0.89999
Belnet2003,0004,0,21.047106977,2.902152,2.41846
Belnet2004,0000,0,3.209571859,3.1735944,2.644662
Belnet2004,0001,0,2.190257408,1.3974256,1.1139294
Belnet2004,0002,0,13.657481436,2.3108296,2.0691312
Belnet2004,0003,0,22.934427991,2.162098,1.8017483333333333
Belnet2004,0004,0,13.033021449,2.3697644,1.9748036666666668
Belnet2005,0000,0,5.611382354,1.4111804,1.11507192
Belnet2005,0001,0,0.56322477,1.1906645,0.900032
Belnet2005,0002,0,2.130087916,1.2158712,0.9000592
Belnet2005,0003,0,1.111944709,1.2810081599999998,0.921447
Belnet2005,0004,0,1.585596,2.289784,1.3781444
Belnet2006,0000,0,9.597465898,1.2965656,1.071694
Belnet2006,0001,0,1.069152102,4.255964,3.5466366666666667
Belnet2006,0002,0,8.857492403,1.2887648,1.1322915
Belnet2006,0003,0,11.135159423,1.5105060799999999,1.1730283333333333
Belnet2006,0004,0,1.084818773,1.1661184,0.9000858
Belnet2007,0000,0,0.214945581,1.1494772333333334,0.8999947333333332
Belnet2007,0001,0,0.346481771,0.9385210000000002,0.9000256666666667
Belnet2007,0002,0,0.359595513,1.00183,0.900061
Belnet2007,0003,0,0.284758699,1.0348047,0.900064
Belnet2007,0004,0,0.357920516,1.035574,0.900049
Belnet2008,0000,0,0.278261458,1.2397826666666665,0.8999873333333333
Belnet2008,0001,0,0.396085837,1.0560538333333334,0.9000280000000002
Belnet2008,0002,0,0.400590593,1.074541,0.90005
Belnet2008,0003,0,0.376092665,1.289673,0.9000366
