Topology,DemandFile,Exit code,Preprocessing time,ILP solve time,Total  time,uMax
AttMpls,0001,0,2.381,1425.268,1427.6490000000001,0.900092
AttMpls,0002,0,2.381,15.846,18.227,0.900057
AttMpls,0003,0,2.381,19.894,22.275,0.900072
AttMpls,0004,0,2.381,29.886,32.266999999999996,0.900052
Azrena,0000,0,0.036,0.053,0.089,0.89996
Azrena,0001,0,0.036,0.063,0.099,0.899949
Azrena,0002,0,0.036,0.05,0.086,0.899956
Azrena,0003,0,0.036,0.049,0.08499999999999999,0.899946
Azrena,0004,0,0.036,0.067,0.10300000000000001,0.899962
Bandcon,0000,0,0.129,0.559,0.6880000000000001,0.899985
Bandcon,0001,0,0.129,0.483,0.612,0.900046
Bandcon,0002,0,0.129,0.48,0.609,0.900022
Bandcon,0003,0,0.129,0.549,0.678,0.89999
Bandcon,0004,0,0.129,0.478,0.607,0.900012
Basnet,0000,0,0.017,0.028,0.045,0.8997419354838709
Basnet,0001,0,0.017,0.039,0.056,0.8996129032258064
Basnet,0002,0,0.017,0.028,0.045,0.8996129032258064
Basnet,0003,0,0.017,0.027,0.044,0.8996129032258064
Basnet,0004,0,0.017,0.048,0.065,0.8997419354838709
Bbnplanet,0000,0,0.057,0.273,0.33,0.8990666666666667
Bbnplanet,0001,0,0.057,0.266,0.323,0.8991777777777777
Bbnplanet,0002,0,0.057,0.22,0.277,0.8989999999999996
Bbnplanet,0003,0,0.057,0.197,0.254,0.8989333333333334
Bbnplanet,0004,0,0.057,0.203,0.26,0.8990444444444443
Bellcanada,0000,0,2.452,12.017,14.469,0.89991
Bellcanada,0001,0,2.452,12.01,14.462,0.899929
Bellcanada,0002,0,2.452,14.158,16.61,0.899949
Bellcanada,0003,0,2.452,14.027,16.479,0.899899
Bellcanada,0004,0,2.452,11.813,14.265,0.899957
Bellsouth,0000,0,2.514,5.268,7.782,0.899881
Bellsouth,0001,0,2.514,5.467,7.981,0.899906
Bellsouth,0002,0,2.514,5.32,7.834,0.899886
Bellsouth,0003,0,2.514,5.444,7.958,0.899881
Bellsouth,0004,0,2.514,5.276,7.789999999999999,0.899977
Belnet2003,0000,0,0.194,1.171,1.365,2.4653276
Belnet2003,0001,0,0.194,1.01,1.204,3.254952
Belnet2003,0002,0,0.194,0.989,1.183,3.0215004
Belnet2003,0003,0,0.194,0.581,0.7749999999999999,1.723648
Belnet2003,0004,0,0.194,1.131,1.325,2.902152
Belnet2004,0000,0,0.197,1.007,1.204,3.1735944
Belnet2004,0001,0,0.197,1.281,1.478,1.2184356
Belnet2004,0002,0,0.197,1.174,1.371,2.3108296
Belnet2004,0003,0,0.197,1.145,1.342,2.162098
Belnet2004,0004,0,0.197,1.204,1.401,2.3697643999999998
Belnet2005,0000,0,0.189,1.281,1.47,1.082918
Belnet2005,0001,0,0.189,0.834,1.023,0.9000769999999999
Belnet2005,0002,0,0.189,1.413,1.602,0.9000376
Belnet2005,0003,0,0.189,0.964,1.153,1.069371
Belnet2005,0004,0,0.189,1.221,1.4100000000000001,1.45338
Belnet2006,0000,0,0.198,3.363,3.561,1.071694
Belnet2006,0001,0,0.198,1.401,1.599,4.255964
Belnet2006,0002,0,0.198,1.142,1.3399999999999999,1.1469392
Belnet2006,0003,0,0.198,1.984,2.182,1.4076339999999998
Belnet2006,0004,0,0.198,0.654,0.8520000000000001,0.9000419999999999
Belnet2007,0000,0,0.114,0.45,0.5640000000000001,0.900051
Belnet2007,0001,0,0.114,0.451,0.5650000000000001,0.900006
Belnet2007,0002,0,0.114,0.522,0.636,0.899999
Belnet2007,0003,0,0.114,0.411,0.525,0.900032
Belnet2007,0004,0,0.114,0.393,0.507,0.8999780000000001
Belnet2008,0000,0,0.124,0.435,0.5589999999999999,0.899984
Belnet2008,0001,0,0.124,0.477,0.601,0.919783
Belnet2008,0002,0,0.124,0.426,0.55,0.900051
Belnet2008,0003,0,0.124,0.473,0.597,0.899985
Belnet2008,0004,0,0.124,0.395,0.519,0.900027
Belnet2009,0000,0,0.126,0.449,0.575,0.900014
Belnet2009,0001,0,0.126,0.422,0.548,0.900004
Belnet2009,0002,0,0.126,0.518,0.644,0.90006
Belnet2009,0003,0,0.126,0.468,0.5940000000000001,0.900063
Belnet2009,0004,0,0.126,0.468,0.5940000000000001,0.90005
Belnet2010,0000,0,0.098,0.466,0.5640000000000001,0.899992
Belnet2010,0001,0,0.098,0.472,0.57,0.899975
Belnet2010,0002,0,0.098,0.43,0.528,0.911669
Belnet2010,0003,0,0.098,0.396,0.494,0.90005
Belnet2010,0004,0,0.098,0.418,0.516,0.900022
BeyondTheNetwork,0000,0,2.23,7.856,10.086,0.899996
BeyondTheNetwork,0001,0,2.23,8.087,10.317,0.899959
BeyondTheNetwork,0002,0,2.23,7.98,10.21,0.899975
BeyondTheNetwork,0003,0,2.23,7.554,9.784,0.899979
BeyondTheNetwork,0004,0,2.23,9.008,11.238,0.899958
Bics,0000,0,1.746,4.246,5.992000000000001,0.9
Bics,0001,0,1.746,3.987,5.7330000000000005,0.899956
Bics,0002,0,1.746,4.456,6.202,0.900004
Bics,0003,0,1.746,4.768,6.513999999999999,0.900025
Bics,0004,0,1.746,4.605,6.351000000000001,0.899961
Biznet,0000,0,0.108,0.709,0.817,0.899965
Biznet,0001,0,0.108,0.511,0.619,0.899999
Biznet,0002,0,0.108,0.492,0.6,0.90002
Biznet,0003,0,0.108,0.607,0.715,0.8999469999999998
Biznet,0004,0,0.108,0.62,0.728,0.899997
Bren,0000,0,0.083,0.166,0.249,0.8999578651685394
Bren,0001,0,0.083,0.198,0.281,0.899936797752809
Bren,0002,0,0.083,0.211,0.294,0.8999634831460674
Bren,0003,0,0.083,0.182,0.265,0.8999676966292135
Bren,0004,0,0.083,0.24,0.323,0.899996
BsonetEurope,0000,0,0.113,0.463,0.5760000000000001,0.9000319999999998
BsonetEurope,0001,0,0.113,0.331,0.444,1.057139
BsonetEurope,0002,0,0.113,0.502,0.615,0.900029
BsonetEurope,0003,0,0.113,0.33,0.443,1.06848
BsonetEurope,0004,0,0.113,0.332,0.445,1.046675
BtAsiaPac,0000,0,0.176,2.724,2.9000000000000004,0.900055
BtAsiaPac,0001,0,0.176,7.306,7.482,0.900086
BtAsiaPac,0002,0,0.176,6.717,6.893,0.900046
