Topology,DemandFile,2-SR_preprocTime,3-SR_preprocTime,2-SR_paths,3-SR_paths
Belnet2008,0000,0.043,0.059,1395,3022
Belnet2008,0001,0.044,0.063,1533,3199
Belnet2008,0002,0.045,0.082,1727,3076
Belnet2008,0003,0.052,0.061,1631,2853
Belnet2008,0004,0.051,0.07,1923,4407
Belnet2009,0000,0.046,0.066,1640,3325
Belnet2009,0001,0.085,0.073,1712,4353
Belnet2009,0002,0.051,0.061,1818,3386
Belnet2009,0003,0.052,0.067,1623,3144
Belnet2009,0004,0.045,0.065,2074,5326
Belnet2010,0000,0.051,0.069,2204,4790
Belnet2010,0001,0.046,0.063,1906,4454
Belnet2010,0002,0.054,0.063,2016,4577
Belnet2010,0003,0.047,0.057,1639,3879
Belnet2010,0004,0.052,0.069,1992,4532
BeyondTheNetwork,0000,0.225,0.631,21082,92621
BeyondTheNetwork,0001,0.215,0.509,20846,90087
BeyondTheNetwork,0002,0.228,0.615,22335,106184
BeyondTheNetwork,0003,0.218,0.638,23018,111787
BeyondTheNetwork,0004,0.22,0.415,18688,67613
Bics,0000,0.096,0.284,8783,43349
Bics,0001,0.09,0.251,8408,42217
Bics,0002,0.096,0.263,8484,43600
Bics,0003,0.081,0.203,7775,36757
Bics,0004,0.096,0.306,9136,49177
Biznet,0000,0.078,0.114,3078,6407
Biznet,0001,0.121,0.096,3195,7131
Biznet,0002,0.078,0.098,2889,6023
Biznet,0003,0.071,0.091,2841,5590
Biznet,0004,0.07,0.1,2778,5155
Bren,0000,0.097,0.102,2778,3164
Bren,0001,0.103,0.102,3104,3673
Bren,0002,0.101,0.117,3213,4044
Bren,0003,0.1,0.107,2820,3200
Bren,0004,0.097,0.115,3287,4239
BsonetEurope,0000,0.037,0.051,1269,2693
BsonetEurope,0001,0.037,0.054,1276,3125
BsonetEurope,0002,0.038,0.055,1431,3451
BsonetEurope,0003,0.035,0.05,1210,2779
BsonetEurope,0004,0.035,0.048,1179,2347
BtAsiaPac,0000,0.076,0.089,2813,11017
BtAsiaPac,0001,0.04,0.082,2481,8257
BtAsiaPac,0002,0.045,0.087,2723,10849
BtAsiaPac,0003,0.042,0.091,2870,10660
BtAsiaPac,0004,0.044,0.086,2662,11538
BtEurope,0000,0.062,0.122,4369,19307
BtEurope,0001,0.063,0.113,3912,15688
BtEurope,0002,0.057,0.128,4419,20138
BtEurope,0003,0.062,0.154,4256,16635
BtEurope,0004,0.063,0.128,4113,14831
BtNorthAmerica,0000,0.151,7.695,25772,426069
BtNorthAmerica,0001,0.13,2.136,19217,214959
BtNorthAmerica,0002,0.131,8.227,26201,437130
BtNorthAmerica,0003,0.128,6.697,24795,391083
BtNorthAmerica,0004,0.142,9.199,26639,455674
Canerie,0000,0.088,0.137,5172,15556
Canerie,0001,0.081,0.172,5884,20883
Canerie,0002,0.085,0.127,5137,15587
Canerie,0003,0.089,0.129,5206,14903
Canerie,0004,0.08,0.124,5147,14706
Cernet,0000,0.104,0.159,6125,14045
Cernet,0001,0.139,0.221,9163,29961
Cernet,0002,0.104,0.181,7945,22973
Cernet,0003,0.114,0.156,7680,17403
Cernet,0004,0.108,0.145,7245,16548
