Topology,DemandFile,2-SR_preprocTime,3-SR_preprocTime,2-SR_paths,3-SR_paths
HurricaneElectric,0001,0.058,0.115,4031,15798
HurricaneElectric,0002,0.059,0.105,4064,17799
HurricaneElectric,0003,0.059,0.136,4446,20838
HurricaneElectric,0004,0.051,0.106,3770,15266
Ibm,0000,0.035,0.07,1821,6820
Ibm,0001,0.037,0.062,1597,5297
Ibm,0002,0.04,0.066,1666,5862
Ibm,0003,0.039,0.065,1747,6347
Ibm,0004,0.037,0.057,1658,5347
Iij,0000,0.12,1.278,19075,162177
Iij,0001,0.107,0.451,14456,82327
Iij,0002,0.115,0.617,16071,102400
Iij,0003,0.108,0.565,16559,98544
Iij,0004,0.111,0.848,17078,130163
Iinet,0000,0.084,0.105,4139,10670
Iinet,0001,0.083,0.088,3535,6399
Iinet,0002,0.087,0.112,3609,7544
Iinet,0003,0.074,0.096,3308,5893
Iinet,0004,0.082,0.1,3921,9267
Ilan,0000,0.027,0.029,516,711
Ilan,0001,0.033,0.031,461,517
Ilan,0002,0.026,0.034,502,586
Ilan,0003,0.032,0.03,524,750
Ilan,0004,0.034,0.035,412,446
Integra,0000,0.072,0.119,4146,15340
Integra,0001,0.07,0.12,4366,15936
Integra,0002,0.065,0.107,4158,14199
Integra,0003,0.064,0.113,4300,15551
Integra,0004,0.064,0.12,4506,17398
Intellifiber,0000,0.526,1.715,43307,222829
Intellifiber,0001,0.529,3.245,56818,374056
Intellifiber,0002,0.566,2.15,49956,275948
Intellifiber,0003,0.484,2.064,51023,286107
Intellifiber,0004,0.567,2.756,52367,322886
Internetmci,0000,0.049,0.154,2848,15021
Internetmci,0001,0.039,0.087,2599,11750
Internetmci,0002,0.044,0.092,2324,10489
Internetmci,0003,0.04,0.11,2931,14349
Internetmci,0004,0.043,0.093,2628,10855
Internode,0000,0.292,0.552,29810,121695
Internode,0001,0.29,0.479,27051,104533
Internode,0002,0.278,0.497,25232,81503
Internode,0003,0.286,0.548,26965,103931
Internode,0004,0.269,0.399,21373,61342
Interoute,0000,2.469,62.967,229849,2993614
Interoute,0001,2.328,36.817,199273,2197683
Interoute,0002,2.608,128.121,261880,3963952
Interoute,0003,2.292,44.123,205647,2363523
Interoute,0004,2.42,74.612,238241,3268737
Intranetwork,0003,0.143,0.709,12798,69954
Ion,0000,3.47,31.763,206830,1888312
Ion,0001,3.532,27.9,200470,1770970
Ion,0002,3.196,17.18,174954,1296326
Ion,0003,3.465,37.028,217066,2100133
Ion,0004,3.279,15.481,177554,1280857
IowaStatewideFiberMap,0000,0.091,0.215,7230,31157
IowaStatewideFiberMap,0001,0.083,0.154,6254,24302
IowaStatewideFiberMap,0002,0.089,0.149,6179,21733
IowaStatewideFiberMap,0003,0.087,0.242,7692,36372
IowaStatewideFiberMap,0004,0.092,0.158,6522,23801
Iris,0000,0.227,0.52,18396,85006
Iris,0001,0.201,0.482,18438,75802
Iris,0002,0.184,0.631,19020,91182
Iris,0003,0.188,0.521,19226,84723
Iris,0004,0.19,0.387,16937,63636
Janetbackbone,0000,0.08,0.215,6983,33127
Janetbackbone,0001,0.081,0.207,6905,31473
Janetbackbone,0002,0.077,0.164,6223,25843
Janetbackbone,0003,0.084,0.35,7897,45940
Janetbackbone,0004,0.078,0.229,7306,35037
Janetlense,0000,0.047,0.08,3614,8532
Janetlense,0001,0.043,0.097,3437,11203
Janetlense,0002,0.045,0.078,2643,8908
Janetlense,0003,0.048,0.107,3581,12524
Janetlense,0004,0.043,0.169,4159,22744
Karen,0000,0.07,0.061,1986,3536
Karen,0001,0.052,0.062,1530,2169
Karen,0002,0.058,0.086,1530,2114
Karen,0003,0.06,0.102,1982,4190
KentmanAug2005,0000,0.071,0.068,1853,2976
KentmanAug2005,0002,0.061,0.072,1955,3109
KentmanAug2005,0003,0.056,0.068,1691,2301
KentmanAug2005,0004,0.069,0.063,1894,2628
KentmanJul2005,0001,0.031,0.034,595,809
KentmanJul2005,0002,0.033,0.037,522,706
KentmanJul2005,0003,0.031,0.04,586,823
KentmanJul2005,0004,0.031,0.033,575,711
LambdaNet,0000,0.164,0.217,6883,17131
LambdaNet,0001,0.144,0.187,6758,18544
LambdaNet,0002,0.144,0.169,6614,12427
LambdaNet,0003,0.154,0.173,7498,17625
LambdaNet,0004,0.148,0.202,8115,22984
Latnet,0001,0.296,0.359,11729,18859
Latnet,0004,0.252,0.305,12030,19381
Layer42,0000,0.017,0.018,71,105
Layer42,0003,0.02,0.019,73,94
Layer42,0004,0.02,0.017,73,91
Litnet,0001,0.118,0.119,2979,3256
Litnet,0002,0.117,0.127,3542,4149
Litnet,0003,0.124,0.127,3465,4086
Litnet,0004,0.116,0.131,3993,4706
Marnet,0000,0.046,0.037,1001,1140
Marnet,0001,0.037,0.039,917,944
Marnet,0002,0.044,0.048,1040,2112
Marnet,0003,0.039,0.045,1228,2484
Marnet,0004,0.044,0.052,1431,3070
Marwan,0000,0.037,0.035,558,1022
Marwan,0001,0.031,0.034,561,779
Marwan,0002,0.036,0.044,712,1187
Marwan,0003,0.031,0.034,656,1063
Marwan,0004,0.035,0.033,646,1040
Missouri,0000,0.399,1.149,34486,169138
Missouri,0001,0.363,1.346,37370,203194
Missouri,0002,0.36,1.21,36246,180685
Missouri,0003,0.346,0.893,32480,139670
Missouri,0004,0.418,1.146,37333,187394
Myren,0000,0.096,0.109,3766,6154
Myren,0002,0.098,0.102,4108,8020
Myren,0004,0.096,0.112,4108,8020
Napnet,0000,0.025,0.028,77,85
Napnet,0002,0.016,0.019,66,78
Napnet,0003,0.018,0.018,78,108
Napnet,0004,0.022,0.015,75,103
Navigata,0000,0.03,0.033,580,1060
Navigata,0001,0.037,0.03,555,933
Navigata,0002,0.028,0.034,527,994
Navigata,0003,0.031,0.044,740,2346
Navigata,0004,0.029,0.037,641,1639
Netrail,0000,0.021,0.024,161,311
Netrail,0001,0.017,0.026,161,272
Netrail,0002,0.018,0.021,174,357
Netrail,0003,0.02,0.022,161,290
Netrail,0004,0.022,0.025,153,255
NetworkUsa,0000,0.113,0.14,4755,10217
NetworkUsa,0001,0.112,0.14,4723,10347
NetworkUsa,0002,0.113,0.132,4844,10391
NetworkUsa,0003,0.094,0.148,5264,12595
NetworkUsa,0004,0.09,0.125,4548,9931
Niif,0000,0.084,0.091,2515,3547
Niif,0001,0.078,0.091,3266,4782
Niif,0002,0.079,0.093,2340,3412
Niif,0003,0.081,0.089,2333,2967
Niif,0004,0.098,0.098,2246,3115
Noel,0000,0.036,0.066,1662,4291
Noel,0001,0.044,0.058,1460,3819
Noel,0002,0.04,0.053,1395,2962
Noel,0003,0.045,0.064,1708,4602
Noel,0004,0.036,0.059,1609,3863
Nordu2005,0000,0.022,0.029,110,113
Nordu2005,0004,0.019,0.027,128,131
Nordu2010,0001,0.032,0.035,316,316
Nordu2010,0002,0.033,0.031,316,316
Nsfcnet,0000,0.022,0.025,174,223
Nsfcnet,0001,0.021,0.024,159,197
Nsfcnet,0003,0.021,0.026,174,223
Nsfcnet,0004,0.029,0.026,160,187
Nsfnet,0000,0.028,0.046,537,1137
Nsfnet,0001,0.028,0.033,619,1404
Nsfnet,0002,0.049,0.076,564,1221
Nsfnet,0003,0.031,0.036,513,1070
Nsfnet,0004,0.031,0.039,614,1414
Ntelos,0000,0.249,2.092,27107,231556
Ntelos,0002,0.218,3.026,29652,285127
Ntelos,0003,0.187,1.227,22832,150817
Ntelos,0004,0.223,3.315,29697,294746
Ntt,0000,0.162,4.986,18200,222303
Ntt,0001,0.165,4.562,18306,221180
Ntt,0002,0.216,9.9,19839,280429
Ntt,0003,0.194,4.626,18994,216163
Ntt,0004,0.218,10.133,20288,306205
Oteglobe,0000,0.845,2.146,54635,268312
Oteglobe,0001,0.7,2.235,55300,274751
Oteglobe,0002,0.781,2.844,61676,351475
Oteglobe,0003,0.814,2.735,60052,337023
Oteglobe,0004,0.678,1.896,52393,245706
Oxford,0000,0.05,0.063,1734,3881
Oxford,0001,0.04,0.07,1855,4654
Oxford,0002,0.042,0.074,2116,6391
Oxford,0003,0.047,0.063,1693,3795
Oxford,0004,0.042,0.07,1890,4636
Pacificwave,0001,0.035,0.042,884,1235
Pacificwave,0004,0.037,0.041,867,1176
Palmetto,0000,0.169,0.645,18825,108382
Palmetto,0001,0.198,0.761,19192,112839
Palmetto,0002,0.168,1.073,21135,143335
Palmetto,0003,0.167,0.648,17774,101758
Palmetto,0004,0.171,0.637,18348,99786
Peer1,0000,0.033,0.045,1010,2457
Peer1,0001,0.034,0.061,1346,4877
Peer1,0002,0.034,0.038,972,2203
Peer1,0003,0.034,0.049,1084,2744
Peer1,0004,0.034,0.041,986,2166
PionierL1,0000,0.114,0.149,5944,15630
PionierL1,0001,0.102,0.15,5776,15981
PionierL1,0002,0.112,0.152,5920,16457
PionierL1,0003,0.1,0.156,6028,17352
PionierL1,0004,0.108,0.168,6221,17381
PionierL3,0000,0.12,0.181,7318,23524
PionierL3,0001,0.125,0.194,8307,26431
PionierL3,0002,0.118,0.194,7935,27027
PionierL3,0003,0.15,0.251,8523,30371
PionierL3,0004,0.132,0.195,7489,22299
Psinet,0000,0.058,0.06,1435,2022
Psinet,0001,0.055,0.054,1291,1879
Psinet,0002,0.057,0.061,1414,2223
Psinet,0003,0.053,0.06,1359,1952
Psinet,0004,0.054,0.063,1485,2484
Quest,0000,0.047,0.097,2535,10407
Quest,0001,0.081,0.088,2617,11399
Quest,0002,0.047,0.1,2848,12955
Quest,0003,0.048,0.117,3049,16037
Quest,0004,0.051,0.099,2729,13076
RedBestel,0000,0.956,1.788,46539,176115
RedBestel,0001,1.087,1.636,42779,150020
RedBestel,0002,1.062,2.252,51064,220066
RedBestel,0003,1.151,4.421,66179,411783
RedBestel,0004,0.928,1.426,40344,130617
Rediris,0000,0.047,0.07,2158,6741
Rediris,0001,0.046,0.069,1988,6666
Rediris,0002,0.038,0.08,2464,8964
Rediris,0003,0.038,0.07,2187,8328
Rediris,0004,0.046,0.072,2353,8270
Renater2001,0000,0.076,0.061,1902,3279
Renater2001,0001,0.053,0.06,1718,2924
Renater2001,0002,0.052,0.063,1783,3357
Renater2001,0004,0.053,0.065,2067,4218
Renater2004,0000,0.075,0.098,4581,12910
Renater2004,0001,0.087,0.096,4111,11552
Renater2004,0002,0.073,0.103,4105,10552
Renater2004,0003,0.073,0.109,4593,12892
Renater2004,0004,0.074,0.121,4447,12449
Renater2006,0000,0.091,0.161,6614,23617
Renater2006,0001,0.086,0.149,6673,21280
Renater2006,0002,0.086,0.194,7361,27014
Renater2006,0003,0.102,0.129,5360,13855
Renater2006,0004,0.088,0.154,6979,24451
Renater2008,0000,0.086,0.182,7513,28269
Renater2008,0001,0.084,0.128,5852,14358
Renater2008,0002,0.086,0.19,7343,26820
Renater2008,0003,0.086,0.164,6676,24714
Renater2008,0004,0.086,0.209,7473,31279
Renater2010,0000,0.131,0.327,13208,55927
Renater2010,0001,0.144,0.485,16126,83904
Renater2010,0002,0.14,0.344,13036,58783
Renater2010,0003,0.14,0.457,15193,84800
Renater2010,0004,0.135,0.309,13178,56058
Restena,0000,0.037,0.038,1017,1683
Restena,0001,0.04,0.041,946,1546
Restena,0002,0.04,0.042,961,1511
Restena,0003,0.037,0.045,926,1530
Restena,0004,0.036,0.038,950,1425
Rnp,0001,0.08,0.099,3538,7841
Rnp,0002,0.085,0.105,3803,8214
Rnp,0003,0.081,0.107,3846,8631
Rnp,0004,0.078,0.082,2667,4561
Roedunet,0000,0.099,0.113,3640,4009
Roedunet,0001,0.127,0.133,3793,4976
Roedunet,0002,0.128,0.149,4838,7871
Roedunet,0003,0.108,0.123,5098,7313
Roedunet,0004,0.112,0.119,4888,6967
Sanet,0000,0.137,0.174,5790,9432
Sanet,0001,0.147,0.182,6451,13668
Sanet,0002,0.135,0.166,5889,10522
Sanet,0003,0.147,0.188,5840,9603
Sanet,0004,0.156,0.185,5822,10427
Sanren,0000,0.019,0.019,86,124
Sanren,0001,0.021,0.021,86,106
Sanren,0002,0.024,0.019,96,134
Sanren,0003,0.02,0.026,110,141
Sanren,0004,0.022,0.022,102,138
Savvis,0000,0.038,0.049,918,1764
Savvis,0001,0.038,0.048,952,1595
Savvis,0002,0.045,0.04,1103,1872
Savvis,0003,0.041,0.04,880,1434
Savvis,0004,0.037,0.039,874,1377
Shentel,0000,0.081,0.173,5043,22858
Shentel,0001,0.102,0.166,4604,17835
Shentel,0003,0.096,0.166,5151,22027
Shentel,0004,0.077,0.108,3906,11386
Sinet,0000,0.281,0.354,17260,31493
Sinet,0001,0.322,0.357,16438,27442
Sinet,0002,0.366,0.41,17297,27983
Sinet,0003,0.311,0.425,14990,22727
Sinet,0004,0.339,0.374,18753,31120
Spiralight,0000,0.031,0.032,549,789
Spiralight,0001,0.036,0.039,667,990
Spiralight,0002,0.031,0.034,524,725
Spiralight,0003,0.031,0.034,517,805
Spiralight,0004,0.035,0.031,456,578
Sprint,0000,0.025,0.033,582,1737
Sprint,0001,0.032,0.035,577,1819
Sprint,0002,0.024,0.078,621,1987
Sprint,0003,0.027,0.038,589,1988
Sprint,0004,0.039,0.034,589,1837
Sunet,0000,0.076,0.111,2962,7871
Sunet,0001,0.072,0.108,3413,8969
Sunet,0002,0.072,0.137,3713,13728
Sunet,0003,0.069,0.132,3861,13868
Sunet,0004,0.073,0.096,2969,7130
Surfnet,0000,0.231,1.346,27843,191344
Surfnet,0001,0.186,0.733,22582,122973
Surfnet,0002,0.207,1.15,25646,170084
Surfnet,0003,0.195,0.842,23252,125900
Surfnet,0004,0.209,1.049,25157,156631
Switch,0000,0.558,1.828,48627,278623
Switch,0001,0.567,2.388,50604,317671
Switch,0002,0.554,1.72,46523,248545
Switch,0003,0.488,2.282,53047,324964
Switch,0004,0.576,2.131,50981,306321
SwitchL3,0000,0.146,0.988,18300,142639
SwitchL3,0001,0.129,0.649,16842,111505
SwitchL3,0002,0.136,1.273,18573,162527
SwitchL3,0003,0.131,0.992,17939,152219
SwitchL3,0004,0.132,0.381,13516,66140
Syringa,0000,0.579,0.606,10647,15661
Syringa,0001,0.541,0.84,14790,33703
Syringa,0002,0.625,0.934,13158,30921
TataNld,0000,6.251,534.312,467350,7349626
TataNld,0001,7.032,802.533,504238,8692624
TataNld,0002,7.544,1145.319,540417,10064309
TataNld,0003,6.511,660.201,491021,8152185
TataNld,0004,6.421,527.858,467609,7270054
Telecomserbia,0000,0.033,0.028,72,98
Telecomserbia,0001,0.018,0.017,58,60
Telecomserbia,0002,0.019,0.02,66,79
Telecomserbia,0003,0.024,0.021,88,116
Telecomserbia,0004,0.024,0.022,62,77
Tinet,0000,0.352,12.722,51523,713686
Tinet,0001,0.39,34.593,63573,1121915
Tinet,0002,0.247,3.218,37208,320938
Tinet,0003,0.229,2.365,35737,270537
Tinet,0004,0.245,3.444,38286,340551
TLex,0000,0.03,0.032,307,374
TLex,0001,0.027,0.026,343,394
TLex,0002,0.029,0.025,339,401
TLex,0003,0.027,0.031,321,381
TLex,0004,0.029,0.026,321,381
Tw,0000,0.639,28.306,103947,1475716
Tw,0001,0.632,41.484,108595,1658283
Tw,0002,0.681,109.609,121657,2331832
Tw,0003,0.534,13.928,85544,970800
Tw,0004,0.719,18.167,92898,1154760
Twaren,0000,0.038,0.051,726,833
Twaren,0001,0.038,0.046,748,833
Twaren,0003,0.038,0.049,854,994
Twaren,0004,0.039,0.036,793,964
Ulaknet,0003,0.377,0.401,8125,8125
UniC,0000,0.065,0.072,1986,3626
UniC,0001,0.062,0.058,1520,2093
UniC,0002,0.059,0.069,1770,2810
UniC,0003,0.06,0.111,1989,3684
UniC,0004,0.067,0.085,2031,3687
Uninet,0000,0.027,0.042,773,2039
VtlWavenet2011,0003,1.303,2.122,41001,136929
VtlWavenet2011,0004,1.401,1.795,38381,107566
WideJpn,0000,0.069,0.07,1500,1866
WideJpn,0002,0.075,0.074,2021,3352
WideJpn,0004,0.067,0.072,1740,2761
Xeex,0000,0.061,0.119,3772,14843
Xeex,0001,0.061,0.148,4160,17956
Xeex,0002,0.061,0.095,3525,11949
Xeex,0003,0.059,0.105,3570,12942
Xeex,0004,0.057,0.12,3742,15085
Xspedius,0000,0.107,0.489,11747,82148
Xspedius,0001,0.099,0.352,10618,63301
Xspedius,0002,0.099,0.407,10628,67228
Xspedius,0003,0.091,0.324,9793,55316
Xspedius,0004,0.111,0.401,10651,67780
York,0000,0.054,0.057,1032,1426
York,0001,0.056,0.092,1069,1734
York,0002,0.054,0.051,1182,1694
York,0003,0.049,0.058,1127,1295
York,0004,0.055,0.058,1187,1678
