Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_TotalTime,3-SR_TotalTime,2-SR_umax,3-SR_umax
Bren,0001,0.18,0.188,0.283,0.29,0.8999129213483147,0.8999627808988764
Bren,0002,0.128,0.221,0.229,0.338,0.900000702247191,0.899941
Bren,0003,0.167,0.131,0.267,0.238,0.8999297752808989,0.8999283707865169
Bren,0004,0.21,0.374,0.307,0.489,0.8999595,0.899942
BsonetEurope,0000,0.304,0.227,0.34099999999999997,0.278,0.900062,0.900057
BsonetEurope,0001,0.323,0.362,0.36,0.416,0.9000495,0.9000163333333332
BsonetEurope,0002,0.13,0.317,0.168,0.372,0.9000735,0.9000549999999999
BsonetEurope,0003,0.14,0.285,0.17500000000000002,0.33499999999999996,0.9000075,0.9000375
BsonetEurope,0004,0.116,0.451,0.15100000000000002,0.499,0.900073,0.90006
BtAsiaPac,0000,0.557,7.951,0.633,8.04,0.9000666666666666,0.9000535
BtAsiaPac,0001,2.013,5.904,2.053,5.986,0.900072,0.90006
BtAsiaPac,0002,5.75,5.025,5.795,5.112,0.900054,0.900062
BtAsiaPac,0003,1.396,5.118,1.438,5.2090000000000005,0.9000779999999999,0.900073
BtAsiaPac,0004,1.181,4.545,1.225,4.631,0.9000489999999992,0.900026
BtEurope,0000,0.369,1.824,0.431,1.9460000000000002,0.900025,0.899992
BtEurope,0001,1.219,2.022,1.282,2.135,0.9000285,0.900028
BtEurope,0002,0.38,2.596,0.437,2.724,0.9000021666666668,0.9000303333333333
BtEurope,0003,0.488,1.013,0.55,1.1669999999999998,0.900046,0.9000095
BtEurope,0004,5.267,33.27,5.33,33.398,0.9001776666666667,0.90005975
BtNorthAmerica,0000,94.377,241.365,94.52799999999999,249.06,0.9000739166666667,0.90007625
BtNorthAmerica,0001,49.969,376.566,50.099000000000004,378.702,0.90008,0.9000622777777778
BtNorthAmerica,0002,5.0,183.396,5.131,191.623,0.9303055,0.9303065
BtNorthAmerica,0003,730.539,1796.503,730.667,1803.1999999999998,0.900067,0.900095
BtNorthAmerica,0004,165.385,1364.987,165.527,1374.1860000000001,0.9289341666666666,0.9289364999999998
Canerie,0000,0.309,1.186,0.397,1.323,0.8999776666666666,0.8999763333333333
Canerie,0001,0.249,1.012,0.33,1.184,0.9000055,0.9000245
Canerie,0002,0.307,1.21,0.392,1.337,0.8999476666666665,0.8999793333333332
Canerie,0003,0.292,0.967,0.381,1.096,0.8999405,0.89996
Canerie,0004,0.35,0.8,0.43,0.924,0.899992,0.8999425
Cernet,0000,0.289,0.848,0.39299999999999996,1.007,0.9399344824533199,0.9399566167596307
Cernet,0001,0.491,2.167,0.63,2.388,0.8999913792701736,0.9000111836495044
Cernet,0002,0.439,1.326,0.543,1.5070000000000001,0.9000321529923252,0.8999960391241338
Cernet,0003,0.431,1.038,0.545,1.194,0.9237896,0.9237895999999999
Cernet,0004,0.244,0.908,0.352,1.053,0.8998548387096774,0.8998322580645162
Cesnet2001,0000,0.05,0.103,0.099,0.156,0.8999741935483871,0.89996428753635
BtAsiaPac,0001,6.173,18.367,6.219,18.543,0.900068,0.9000864999999999
BtAsiaPac,0002,4.951,12.254,4.997,12.43,0.9000594166666667,0.900041625
BtAsiaPac,0003,1.633,5.576,1.679,5.752,0.90007575,0.9000660833333333
Cesnet2001,0004,0.057,0.063,0.10600000000000001,0.107,0.8999903225806452,0.8999709677419355
Cesnet200304,0000,0.182,0.256,0.244,0.339,0.9000252,0.90007
Cesnet200304,0001,0.114,0.189,0.185,0.275,0.8999583333333333,0.8999583333333333
Cesnet200304,0002,0.126,0.24,0.199,0.319,0.900049,0.900041
Cesnet200304,0003,0.113,0.273,0.181,0.34600000000000003,0.9000379999999999,0.900046
Cesnet200304,0004,0.102,0.25,0.172,0.325,0.8999533333333334,0.8999533333333334
Cesnet200511,0000,0.229,0.448,0.329,0.5800000000000001,0.9000636,0.9000496
Cesnet200511,0001,0.44,0.483,0.547,0.611,0.9000204,0.9001208583840076
Cesnet200511,0002,0.265,0.408,0.375,0.5429999999999999,0.9000524081515482,0.9000532
Cesnet200511,0003,0.28,0.721,0.401,0.863,0.9000729130669987,0.9000896
Cesnet200511,0004,0.337,0.823,0.444,0.962,0.900044,0.900062
Cesnet200603,0000,0.344,0.45,0.45099999999999996,0.61,0.9000774,0.90006
Cesnet200603,0001,0.261,0.578,0.366,0.709,0.8999219999999999,0.899922
Cesnet200603,0002,0.296,0.668,0.40599999999999997,0.8,0.9000281842073151,0.9000794464959411
Cesnet200603,0003,0.33,0.753,0.436,0.881,0.900035,0.9000914579537662
Cesnet200603,0004,0.386,0.856,0.498,0.992,0.9000162230066358,0.9000494
