Topology,DemandFile,Preprocessing time,ILP solve time,Total  time,uMax
Bandcon,0002,0.002,0.158,0.16,0.900007
Bandcon,0003,0.003,0.167,0.17,1.057406
Bandcon,0004,0.002,0.179,0.181,0.899988
Basnet,0000,0.0,0.027,0.027,0.8997419354838709
Basnet,0001,0.0,0.028,0.028,0.8996129032258064
Basnet,0002,0.0,0.028,0.028,0.8996129032258064
Basnet,0003,0.0,0.027,0.027,0.8996129032258064
Basnet,0004,0.0,0.028,0.028,0.8997419354838709
Bbnplanet,0000,0.004,0.202,0.206,0.8990666666666667
Bbnplanet,0001,0.004,0.227,0.231,0.8991333333333333
Bbnplanet,0002,0.003,0.216,0.219,0.899
Bbnplanet,0003,0.004,0.235,0.239,0.8989555555555555
Bbnplanet,0004,0.003,0.234,0.237,0.8989777777777777
Bellcanada,0000,0.016,2.125,2.141,0.899931
Bellcanada,0001,0.016,2.108,2.124,0.899909
Bellcanada,0002,0.017,2.426,2.443,0.899888
Bellcanada,0003,0.016,2.121,2.137,0.899915
Bellcanada,0004,0.016,2.234,2.25,0.899907
Bellsouth,0000,0.017,1.39,1.407,0.899881
Bellsouth,0001,0.017,1.37,1.387,0.899906
Bellsouth,0002,0.017,1.273,1.29,0.899886
Bellsouth,0003,0.018,1.277,1.295,0.8998809999999999
Bellsouth,0004,0.018,1.386,1.404,0.899905
Belnet2003,0000,0.003,0.208,0.211,2.4653276
Belnet2003,0001,0.003,0.178,0.181,3.254952
Belnet2003,0002,0.002,0.179,0.181,3.021500399999999
Belnet2003,0003,0.002,0.16,0.162,1.723648
Belnet2003,0004,0.003,0.203,0.206,2.902152
Belnet2004,0000,0.003,0.173,0.176,3.1735944
Belnet2004,0001,0.002,0.222,0.224,1.2184356
Belnet2004,0002,0.003,0.219,0.222,2.3108296
Belnet2004,0003,0.003,0.181,0.184,2.162098
Belnet2004,0004,0.002,0.273,0.275,2.3697643999999998
Belnet2005,0000,0.002,0.182,0.184,1.082918
Belnet2005,0001,0.002,0.575,0.577,0.9000526
Belnet2005,0002,0.003,0.525,0.528,0.9000607999999999
Belnet2005,0003,0.003,0.265,0.268,1.069397
Belnet2005,0004,0.003,0.255,0.258,1.4533799999999992
Belnet2006,0000,0.002,0.265,0.267,1.071694
Belnet2006,0001,0.003,0.189,0.192,4.255964
Belnet2006,0002,0.003,0.177,0.18,1.1469392
Belnet2006,0003,0.002,0.187,0.189,1.407712
Belnet2006,0004,0.002,0.537,0.539,0.9000883
Belnet2007,0000,0.002,0.203,0.205,0.899994
Belnet2007,0001,0.003,0.183,0.186,0.899994
Belnet2007,0002,0.002,0.179,0.181,0.899989
Belnet2007,0003,0.004,0.2,0.204,0.900041
Belnet2007,0004,0.002,0.159,0.161,0.900025
Belnet2008,0000,0.002,0.174,0.176,0.900015
Belnet2008,0001,0.002,0.223,0.225,0.91978
Belnet2008,0002,0.002,0.161,0.163,0.899996
Belnet2008,0003,0.003,0.2,0.203,0.900015
Belnet2008,0004,0.002,0.152,0.154,0.899989
Belnet2009,0000,0.002,0.18,0.182,0.900038
Belnet2009,0001,0.002,0.159,0.161,0.90005
Belnet2009,0002,0.003,0.185,0.188,0.900057
Belnet2009,0003,0.002,0.177,0.179,0.900008
Belnet2009,0004,0.002,0.16,0.162,0.900015
Belnet2010,0000,0.002,0.229,0.231,0.899996
Belnet2010,0001,0.003,0.204,0.207,0.900009
Belnet2010,0002,0.002,0.208,0.21,0.911675
Belnet2010,0003,0.002,0.208,0.21,0.9000589999999999
Belnet2010,0004,0.003,0.17,0.173,0.899984
BeyondTheNetwork,0000,0.017,2.542,2.559,1.030077
BeyondTheNetwork,0001,0.018,2.485,2.503,0.899971
BeyondTheNetwork,0002,0.017,2.333,2.35,0.899982
BeyondTheNetwork,0003,0.017,2.518,2.535,0.899935
BeyondTheNetwork,0004,0.018,2.07,2.088,0.9073169999999999
Bics,0000,0.005,0.647,0.652,0.90001
Bics,0001,0.005,0.652,0.657,0.900018
Bics,0002,0.006,0.669,0.675,0.9000149999999999
Bics,0003,0.007,0.573,0.58,0.899995
Bics,0004,0.007,0.573,0.58,0.899977
Biznet,0000,0.005,0.491,0.496,0.900007
Biznet,0001,0.005,0.371,0.376,0.900021
Biznet,0002,0.004,0.542,0.546,0.899985
Biznet,0003,0.004,0.468,0.472,0.899976
Biznet,0004,0.005,0.397,0.402,0.899958
Bren,0000,0.008,0.48,0.488,0.8999410112359547
Bren,0001,0.009,0.483,0.492,0.8999311797752809
Bren,0002,0.008,0.467,0.475,0.899941011235955
Bren,0003,0.008,0.486,0.494,0.8999269662921349
Bren,0004,0.008,0.521,0.529,0.899968
BsonetEurope,0000,0.001,0.126,0.127,0.97846
BsonetEurope,0001,0.001,0.127,0.128,1.091036
BsonetEurope,0002,0.001,0.108,0.109,0.915264
BsonetEurope,0003,0.002,0.105,0.107,1.06848
BsonetEurope,0004,0.001,0.102,0.103,1.046675
BtAsiaPac,0000,0.003,1.435,1.438,0.9000539999999998
BtAsiaPac,0001,0.003,2.641,2.644,0.900152
