Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_umax,3-SR_umax
Bandcon,0003,0.266,3.405,0.9000314166666666,0.9000659999999999
Bandcon,0004,0.243,3.178,0.9000195,0.9000605
Basnet,0000,0.065,0.061,0.8997419354838709,0.8997419354838709
Basnet,0001,0.033,0.048,0.8996129032258064,0.8996129032258064
Basnet,0002,0.033,0.101,0.8996129032258064,0.8996129032258064
Basnet,0003,0.034,0.059,0.8996129032258064,0.8996129032258064
Basnet,0004,0.034,0.05,0.8997419354838709,0.8997419354838709
Bbnplanet,0000,0.356,5.946,0.8990777777777778,0.8990666666666667
Bbnplanet,0001,0.307,5.751,0.8991333333333333,0.8991333333333333
Bbnplanet,0002,0.304,5.979,0.8989888888888887,0.8989999999999999
Bbnplanet,0003,0.297,5.779,0.8989666666666667,0.8989222222222222
Bbnplanet,0004,0.315,5.832,0.899,0.8989666666666667
Bellcanada,0000,2.977,996.598,0.899876,0.8999205
Bellcanada,0001,3.298,606.063,0.899925,0.8998815
Bellcanada,0002,3.499,625.648,0.8998775,0.899954
Bellcanada,0003,3.166,617.275,0.8998745,0.8998745
Bellcanada,0004,3.419,591.492,0.8998955,0.8998774999999997
Bellsouth,0000,2.278,478.101,0.899881,0.899881
Bellsouth,0001,2.338,478.538,0.899906,0.899906
Bellsouth,0002,2.233,475.567,0.899886,0.8998859999999999
Bellsouth,0003,2.22,442.898,0.899881,0.899881
Bellsouth,0004,2.37,512.368,0.8999315,0.8998974999999999
Belnet2003,0000,0.339,5.706,2.054439666666666,2.054439666666666
Belnet2003,0001,0.363,4.805,2.71246,2.71246
Belnet2003,0002,0.356,4.887,2.5179169999999997,2.5179169999999997
Belnet2003,0003,0.275,3.816,0.89999,0.89999
Belnet2003,0004,0.379,5.179,2.41846,2.41846
Belnet2004,0000,0.387,4.915,2.644662,2.644662
Belnet2004,0001,0.598,11.594,1.1139236,1.1139227999999999
Belnet2004,0002,2.605,14.645,2.0691312,2.0691312
Belnet2004,0003,0.335,5.459,1.8017483333333333,1.801748333333333
Belnet2004,0004,0.748,5.415,1.9748036666666664,1.9748036666666666
Belnet2005,0000,0.587,9.64,1.0547176,1.0547228
Belnet2005,0001,0.586,4.752,0.9000764,0.9000459999999999
Belnet2005,0002,0.756,5.129,0.90007824,0.9000565
Belnet2005,0003,0.447,7.82,0.9213883333333331,0.9213768333333334
Belnet2005,0004,0.541,7.013,1.3781444,1.3781444
Belnet2006,0000,0.753,11.082,1.071694,1.071694
Belnet2006,0001,0.374,4.776,3.5466366666666667,3.5466366666666667
Belnet2006,0002,1.018,8.075,1.1322997,1.0639348
Belnet2006,0003,0.677,5.186,1.1730283333333333,1.1730283333333333
Belnet2006,0004,0.467,4.39,0.9000836,0.9000122
Belnet2007,0000,0.274,3.864,0.8999904333333335,0.9000250333333332
Belnet2007,0001,0.289,3.731,0.9000263333333332,0.89998
Belnet2007,0002,0.326,3.922,0.900039,0.900053
Belnet2007,0003,0.251,3.72,0.899989,0.900043
Belnet2007,0004,0.239,3.838,0.899998,0.900043
Belnet2008,0000,0.257,3.664,0.8999839999999996,0.9000199999999999
Belnet2008,0001,0.234,3.75,0.8999883333333332,0.899979
Belnet2008,0002,0.267,3.69,0.899989,0.899991
Belnet2008,0003,0.374,3.859,0.8999892333333334,0.9000162666666666
Belnet2008,0004,0.277,3.901,0.9000629999999998,0.90006
Belnet2009,0000,0.303,4.371,0.900002,0.900067
Belnet2009,0001,0.336,3.882,0.8999780000000001,0.900065
Belnet2009,0002,0.32,4.348,0.900013,0.9000229997711441
Belnet2009,0003,0.29,4.193,0.899983,0.900013
Belnet2009,0004,0.279,3.719,0.8999989999999999,0.9000266666666668
Belnet2010,0000,0.261,4.354,0.9000453333333333,0.9000500000000001
Belnet2010,0001,0.28,4.242,0.8999989999999999,0.9000513333333331
Belnet2010,0002,0.332,4.553,0.900038,0.9000265
Belnet2010,0003,0.269,4.371,0.900007,0.8999785
Belnet2010,0004,0.247,4.122,0.899988,0.900011
BeyondTheNetwork,0000,3.752,983.909,0.90001075,0.899997875
BeyondTheNetwork,0001,3.658,863.525,0.8999852083333333,0.8999855
BeyondTheNetwork,0002,3.987,958.046,0.899972375,0.899981875
BeyondTheNetwork,0003,4.909,1844.171,0.89996975,0.900006
BeyondTheNetwork,0004,3.712,830.428,0.8999585,0.900001
Bics,0000,1.213,36.291,0.8999775,0.8999851666666667
Bics,0001,1.046,34.56,0.899956,0.899956
Bics,0002,1.491,40.66,0.8999762916666668,0.9000433333333332
Bics,0003,1.135,36.085,0.9000105,0.9000068333333333
Bics,0004,1.037,32.907,0.8999778333333334,0.899948
Biznet,0000,0.582,13.88,0.8999715,0.89999
Biznet,0001,0.517,13.78,0.899994,0.9000265
Biznet,0002,0.629,14.037,0.89996,0.8999885
Biznet,0003,0.611,14.223,0.899962,0.899983
Biznet,0004,0.495,13.894,0.900004,0.9000135
Bren,0000,0.572,22.238,0.8999410112359547,0.8999325842696629
Bren,0001,0.576,21.985,0.8999311797752809,0.8999269662921349
Bren,0002,0.63,22.422,0.899941011235955,0.9
