Topology,2-SR_preprocTime,3-SR_preprocTime,2-SR_paths,3-SR_paths
Istar,0.039,0.038,854,854
Itnet,0.021,0.023,110,110
Janetbackbone,0.08,2.023,13444,176358
JanetExternal,0.023,0.022,90,90
Janetlense,0.055,0.32,4369,37915
Jgn2Plus,0.046,0.032,306,306
Karen,0.87,0.113,2957,8251
KentmanApr2007,0.088,0.079,1494,3182
KentmanAug2005,0.049,0.057,1988,3444
KentmanFeb2008,0.113,0.107,2086,4440
KentmanJan2011,0.064,0.073,2216,2216
KentmanJul2005,0.03,0.033,616,1028
Kreonet,0.024,0.023,156,156
LambdaNet,0.112,0.268,8952,31944
Latnet,0.213,0.333,12984,21580
Layer42,0.02,0.019,78,126
Litnet,0.088,0.097,3256,3256
Marnet,0.08,0.044,659,659
Marwan,0.035,0.048,1088,2884
Missouri,0.471,17.029,79040,1028796
Mren,0.017,0.017,30,30
Myren,0.078,0.102,4238,9026
Napnet,0.018,0.018,78,126
Navigata,0.042,0.046,732,2832
Netrail,0.019,0.035,190,462
NetworkUsa,0.075,0.176,6352,18030
Nextgen,0.036,0.045,984,1876
Niif,0.147,0.114,2314,3140
Noel,0.047,0.126,2388,11634
Nordu1989,0.018,0.018,42,42
Nordu1997,0.025,0.028,182,182
Nordu2005,0.037,0.034,136,139
Nordu2010,0.029,0.03,304,304
Nsfcnet,0.021,0.025,196,260
Nsfnet,0.027,0.039,732,1928
Ntelos,0.214,3.323,30480,312811
Ntt,0.503,23.062,28594,452818
Oteglobe,0.867,26.544,111282,1424529
Oxford,0.042,0.081,2244,8099
Pacificwave,0.078,1.139,938,1246
Packetexchange,0.046,0.116,2862,10680
Padi,0.018,0.026,42,42
Palmetto,0.209,7.192,34786,479481
Peer1,0.034,0.069,1574,6894
Pern,1.362,2.155,66092,191254
PionierL1,0.097,0.388,9982,54241
PionierL3,0.114,0.547,11592,70847
Psinet,0.052,0.081,2222,4214
Quest,0.044,0.3,4178,35145
RedBestel,1.015,17.892,96890,948093
Rediris,0.081,0.127,2344,10166
Renam,0.014,0.019,20,20
Renater1999,0.047,0.035,552,552
Renater2001,0.041,0.057,1338,2470
Renater2004,0.061,0.194,5572,24244
Renater2006,0.08,0.46,10390,66814
Renater2008,0.087,0.497,10390,66814
Renater2010,0.159,2.489,25136,259894
Restena,0.037,0.037,804,1238
Reuna,0.073,0.075,1332,1332
Rhnet,0.033,0.041,910,1498
Rnp,0.063,0.107,3868,9054
Roedunet,0.507,0.159,2425,2425
RoedunetFibre,0.138,0.54,15398,79409
Sago,0.046,0.04,306,306
Sanet,0.121,0.22,7912,21880
Sanren,0.017,0.018,84,84
Savvis,0.04,0.063,1328,2296
Shentel,0.079,0.255,6234,35141
Sinet,0.306,0.698,24308,73091
Singaren,0.021,0.022,110,110
Spiralight,0.047,0.058,978,1930
Sprint,0.026,0.074,792,4151
Sunet,0.071,0.229,5230,26015
Surfnet,0.235,6.322,40869,512607
