Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_umax,3-SR_umax
AsnetAm,0000,146.809555477,142.959170189,0.899725,0.899725
AsnetAm,0001,148.904457544,146.773032043,0.899732,0.899732
AsnetAm,0002,184.599570585,152.138414284,0.899744875,0.899717
AsnetAm,0003,146.123598873,147.719215521,0.899718,0.899718
AsnetAm,0004,239.193307663,207.315044702,0.90095175,0.90152975
Atmnet,0000,1.177063189,1.146864415,0.8998677419354839,0.8998290322580645
Atmnet,0001,1.173525505,1.194685116,0.8998967741935484,0.8998967741935484
Atmnet,0002,1.049178954,1.160467013,0.8998935483870968,0.8998935483870968
Atmnet,0003,1.00965249,1.018205064,0.8998806451612903,0.8998806451612903
Atmnet,0004,1.010928805,1.017813424,0.8998806451612903,0.8998419354838709
AttMpls,0000,666.279290834,4.194534307,0.9122144861111111,0.9480421666666666
AttMpls,0001,1302.623413865,132.509474514,0.903853375,0.9043737083333333
AttMpls,0002,19.651817551,12.097275295,0.9136541249999999,0.9373379166666667
AttMpls,0003,8.296432105,6.226367492,0.91276425,0.9163249
AttMpls,0004,4.256594975,7.196435748,0.90007375,0.9000491666666668
Azrena,0000,1.126245436,1.215052097,0.89996,0.89996
Azrena,0001,1.15977364,1.248300948,0.899949,0.899949
Azrena,0002,1.088606198,0.9400677,0.899956,0.899956
Azrena,0003,1.0213694,1.169670247,0.899946,0.899946
Azrena,0004,1.105775016,1.10733876,0.899962,0.899962
Bandcon,0000,1.298504827,1.466879607,0.9000611666666667,0.8999871666666667
Bandcon,0001,1.310207322,1.258051198,0.90002625,0.90006425
Bandcon,0002,1.304816956,1.300569223,0.9000125,0.9000125
Bandcon,0003,1.266328056,1.250375677,0.8999956666666666,0.8999988333333334
Bandcon,0004,1.237639951,1.31015927,0.8999995,0.8999995
Basnet,0000,0.163732294,0.187645096,0.8997419354838709,0.8997419354838709
Basnet,0001,0.184742376,0.170211441,0.8996129032258064,0.8996129032258064
Basnet,0002,0.16713722,0.175090869,0.8996129032258064,0.8996129032258064
Basnet,0003,0.172576033,0.168105655,0.8996129032258064,0.8996129032258064
Basnet,0004,0.166897081,0.161124462,0.8997419354838709,0.8997419354838709
Bbnplanet,0000,1.930478133,2.302451472,0.8990666666666667,0.8990666666666667
Bbnplanet,0001,2.00034159,2.132838482,0.8991444444444444,0.8991444444444444
Bbnplanet,0002,2.022420941,1.963590419,0.8990111111111111,0.8990111111111111
Bbnplanet,0003,1.996040345,2.074391206,0.899,0.899
Bbnplanet,0004,2.243835207,2.230759831,0.8990555555555556,0.899
Bellcanada,0000,44.955776153,41.169926903,0.8999580833333334,0.899949
Bellcanada,0001,42.837338903,41.562439436,0.8999485,0.8999205
Bellcanada,0002,47.436752135,43.768668591,0.8999315,0.8999445
Bellcanada,0003,47.210976014,46.649423106,0.899884,0.899877
Bellcanada,0004,40.767901049,41.721384667,0.899878,0.899948
Bellsouth,0000,48.349561471,45.662049582,0.899881,0.899881
Bellsouth,0001,50.270842926,50.339900132,0.899906,0.899906
Bellsouth,0002,49.338630556,46.485591038,0.899886,0.899886
Bellsouth,0003,43.242134073,44.675384542,0.899881,0.899881
Bellsouth,0004,49.495243434,47.651948827,0.899931,0.899931
Belnet2003,0000,2.105255888,2.092201251,2.4653276,2.4653276
Belnet2003,0001,1.85073805,1.772782902,3.254952,3.254952
Belnet2003,0002,2.168881409,2.041055509,3.0215004,3.0215004
Belnet2003,0003,1.977542861,2.047518404,0.89999,0.89999
Belnet2003,0004,1.78251242,1.870340934,2.902152,2.902152
Belnet2004,0000,1.949828184,2.183597504,3.1735944,3.1735944
Belnet2004,0001,2.30735231,2.353390594,1.2184356,1.2184356
Belnet2004,0002,2.043892015,2.374512676,2.3108296,2.3108296
Belnet2004,0003,1.731683762,2.046536352,2.162098,2.162098
Belnet2004,0004,2.274017021,2.342712857,2.3697644,2.3697644
Belnet2005,0000,2.287052725,2.463178912,1.082918,1.082918
Belnet2005,0001,2.397079911,2.380059882,0.900078,0.9000828
Belnet2005,0002,2.365882041,2.504531712,0.9100434,0.9049864
Belnet2005,0003,2.332104078,2.245198447,0.9872732,0.9872732
Belnet2005,0004,2.302126091,2.235249639,1.45338,1.45338
Belnet2006,0000,2.356990176,2.458831895,1.071694,1.071694
Belnet2006,0001,1.921719376,1.8049822,4.255964,4.255964
Belnet2006,0002,2.457008573,2.524728904,1.1469392,1.1469392
Belnet2006,0003,2.348625073,2.429880793,1.2913026,1.228278
Belnet2006,0004,2.095019272,2.499343586,0.9000779,0.9000805
Belnet2007,0000,1.17966041,1.260755414,0.9000490999999999,0.8999972333333334
Belnet2007,0001,1.261248492,1.273994644,0.9000243333333331,0.9000243333333332
Belnet2007,0002,1.265701038,1.333852134,0.8999889999999999,0.8999889999999999
Belnet2007,0003,1.361484842,1.367313734,0.900062,0.900015
Belnet2007,0004,1.224577648,1.294439919,0.89999,0.89999
Belnet2008,0000,1.019110923,1.365632,0.900013,0.8999839999999999
Belnet2008,0001,1.236993619,1.402820884,0.8999950000000001,0.8999936666666666
Belnet2008,0002,1.277284677,1.582450357,0.899999,0.900038
Belnet2008,0003,1.474263741,1.246043388,0.8999775666666666,0.9000042333333333
Belnet2008,0004,1.211818915,1.514811771,0.900039,0.900001
Belnet2009,0000,1.33218754,1.301462295,0.9000486666666666,0.899988
Belnet2009,0001,1.330623753,1.384669299,0.90006,0.90006
Belnet2009,0002,1.268153098,1.143763858,0.900008,0.900044
Belnet2009,0003,1.140358137,1.146233121,0.900011,0.900011
Belnet2009,0004,1.215290755,1.408159805,0.899985,0.899978
Belnet2010,0000,1.528504764,1.619763759,0.9000202999999999,0.8999979
Belnet2010,0001,1.538234905,1.632264793,0.8999843333333333,0.8999903333333332
Belnet2010,0002,1.540126805,1.568984012,0.9000555000000001,0.9019775
Belnet2010,0003,1.44071344,1.452544184,0.9000355,0.9000575
Belnet2010,0004,1.518323582,1.42222553,0.9000345,0.9000595
BeyondTheNetwork,0000,84.615057837,72.071645759,0.90004,0.899985375
BeyondTheNetwork,0001,69.653445547,68.943830146,0.899919625,0.8999675
BeyondTheNetwork,0002,74.289523804,74.967063241,0.89995175,0.899968
BeyondTheNetwork,0003,79.307841034,75.84493959,0.89999075,0.89996475
BeyondTheNetwork,0004,82.95733108,74.467793301,0.900549,0.8999795
Bics,0000,8.119111303,7.575896962,0.9000256666666666,0.9000181666666667
Bics,0001,7.616482237,7.267098911,0.9000135,0.9000405
Bics,0002,10.389972985,10.506663552,0.899996,0.90000825
Bics,0003,7.386798113,7.53412651,0.8999588333333334,0.8999628333333334
Bics,0004,7.362406009,7.615713977,0.9000030000000001,0.8999801666666667
Biznet,0000,3.893912135,4.029928406,0.900026,0.900026
Biznet,0001,3.215335625,3.194648642,0.9000315,0.9000315
Biznet,0002,3.149115818,3.477364117,0.9000065,0.900027
Biznet,0003,3.757856255,3.826778943,0.900025,0.899981
Biznet,0004,3.414826118,3.001963648,0.9000265,0.899957
Bren,0000,7.061037579,6.991941452,0.8999676966292135,0.8999213483146068
Bren,0001,6.490065678,6.907575179,0.8999241573033708,0.8999241573033708
Bren,0002,7.868378176,8.589887684,0.8999733146067416,0.8999733146067416
Bren,0003,7.884026373,7.940097197,0.8999311797752809,0.8999311797752809
Bren,0004,7.976717144,7.441559985,0.899977,0.899977
BsonetEurope,0000,1.033614807,1.120111502,0.9000655833333334,0.9010907499999998
BsonetEurope,0001,2.726336197,1.521213816,0.9000593333333333,0.9000079166666668
BsonetEurope,0002,0.922815586,1.012383013,0.9000236666666667,0.9000476666666666
BsonetEurope,0003,1.130797482,0.967073329,0.9000645,0.9000710833333334
BsonetEurope,0004,1.976843517,1.886365841,0.9000250833333334,0.9000231666666667
BtAsiaPac,0000,1.966609511,3.88793227,0.9000573333333334,0.9000783333333334
BtAsiaPac,0001,9.060690185,5.110905204,0.9000793333333333,0.9000654999999999
BtAsiaPac,0002,3.727316509,1.80454471,0.9000919166666668,0.9001860833333334
BtAsiaPac,0003,1.696492639,1.682650866,0.9002435833333332,0.9002435833333332
BtAsiaPac,0004,3.195280864,3.761667327,0.901339,0.900044
BtEurope,0000,2.888571576,2.840253676,0.9580375,0.9000315
BtEurope,0001,2.528752567,2.851271571,0.9113285,0.9075781666666666
BtEurope,0002,2.703435579,2.210204448,1.102091,1.102091
BtEurope,0003,2.454190847,2.486318027,0.9139595,0.900026
BtEurope,0004,2.669228133,2.593906119,1.150131,1.3428081666666667
BtLatinAmerica,0000,18.737302669,19.055964513,0.899748,0.899748
BtLatinAmerica,0001,18.869219906,19.275783844,0.899738,0.899738
BtLatinAmerica,0002,18.395098214,19.114639132,0.899758,0.899758
BtLatinAmerica,0003,18.310907854,19.014586796,0.899746,0.899746
BtLatinAmerica,0004,18.184684194,19.357567975,0.89975,0.89975
BtNorthAmerica,0000,76.730620944,65.943632373,0.9002675833333332,0.9002467916666667
BtNorthAmerica,0001,24.565335267,31.001391713,0.9006702430555555,0.9004422500000001
BtNorthAmerica,0002,-,66.261426399,-,0.9025275694444446
BtNorthAmerica,0003,197.493652485,-,0.9001971458333332,-
BtNorthAmerica,0004,-,891.570263982,-,0.903561
Canerie,0000,6.695919971,6.081672141,0.900028,0.900022
Canerie,0001,5.959565995,4.860568877,0.89996,0.899965
Canerie,0002,5.823664731,5.826186067,0.900038,0.900017
Canerie,0003,7.479316962,6.775503113,0.899949,0.899979
Canerie,0004,7.933884458,6.549527967,0.899959,0.899997
Carnet,0000,13.864806251,14.071200052,0.899842,0.899842
Carnet,0001,14.510185552,14.218576953,0.899832,0.899832
Carnet,0002,14.533222092,14.569935521,0.899832,0.899832
Carnet,0003,14.625031405,14.384743179,0.899839,0.899839
Carnet,0004,14.715939782,14.392944035,0.899834,0.899834
Cernet,0000,18.779378667,19.365582088,0.9565724910181315,0.9566004501418925
Cernet,0001,17.313224013,17.585931383,1.0418210243290975,1.041914221408301
Cernet,0002,15.314444576,15.178708469,1.0376838709677418,1.0376838709677418
Cernet,0003,18.159022937,18.261143132,0.9492432,0.9492432
Cernet,0004,16.710511264,16.160369441,0.9283629001067106,0.9284322580645161
