Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_TotalTime,3-SR_TotalTime,2-SR_umax,3-SR_umax
Arpanet19728,0002,1.375,5.89,1.443,6.31,0.9000015,0.90002375
Arpanet19728,0003,1.011,15.133,1.079,15.552999999999999,0.89996825,0.90000725
Arpanet19728,0004,0.813,5.633,0.881,6.053,0.900043,0.90000075
AsnetAm,0000,1.518,19.042,1.766,19.976000000000003,0.899725,0.899725
AsnetAm,0001,1.566,16.74,1.814,17.674,0.899732,0.899732
AsnetAm,0002,1.339,13.284,1.587,14.218,0.899717,0.899717
AsnetAm,0003,1.531,17.148,1.779,18.082,0.899718,0.899718
AsnetAm,0004,1.903,16.679,2.151,17.613,0.899929,0.89986775
Atmnet,0000,0.176,0.275,0.21999999999999997,0.333,0.8998419354838709,0.8998548387096774
Atmnet,0001,0.238,0.408,0.282,0.46599999999999997,0.8998806451612904,0.8999
Atmnet,0002,0.209,0.305,0.253,0.363,0.8998516129032252,0.8998709677419338
Atmnet,0003,0.196,0.453,0.24,0.511,0.8998774193548387,0.8998903225806452
Atmnet,0004,0.291,0.393,0.33499999999999996,0.451,0.8998903225806452,0.8998548387096774
AttMpls,0000,194.343,433.618,194.415,435.99899999999997,0.900083,0.9000786666666666
AttMpls,0001,131.687,1801.984,131.75900000000001,1804.365,0.9000855,0.9000915000000002
AttMpls,0002,5.643,274.852,5.715,277.23299999999995,0.9000504583333333,0.9000370416666666
AttMpls,0003,12.104,167.131,12.175999999999998,169.512,0.9000562499999998,0.9000516666666666
AttMpls,0004,9.334,49.07,9.405999999999999,51.451,0.9000545,0.9000645
Azrena,0000,0.097,0.083,0.131,0.119,0.89996,0.89996
Azrena,0001,0.101,0.072,0.135,0.10799999999999998,0.899949,0.899949
Azrena,0002,0.064,0.075,0.098,0.11099999999999999,0.899956,0.899956
Azrena,0003,0.071,0.111,0.105,0.147,0.899946,0.899946
Azrena,0004,0.077,0.105,0.111,0.141,0.899962,0.899962
Bandcon,0000,0.316,1.798,0.363,1.927,0.8999983333333332,0.9000143333333332
Bandcon,0001,0.29,1.143,0.33699999999999997,1.272,0.90004525,0.8999828333333333
Bandcon,0002,0.21,1.037,0.257,1.166,0.8999835,0.90003
Bandcon,0003,0.237,1.352,0.284,1.481,0.8999954999999998,0.9000070833333332
Bandcon,0004,0.19,1.035,0.237,1.164,0.8999915,0.899994
Basnet,0000,0.053,0.032,0.072,0.049,0.8997419354838709,0.8997419354838709
Basnet,0001,0.04,0.031,0.059,0.048,0.8996129032258064,0.8996129032258064
Basnet,0002,0.032,0.052,0.051000000000000004,0.069,0.8996129032258064,0.8996129032258064
Basnet,0003,0.051,0.042,0.06999999999999999,0.059000000000000004,0.8996129032258064,0.8996129032258064
Basnet,0004,0.038,0.035,0.056999999999999995,0.052000000000000005,0.8997419354838709,0.8997419354838709
Bbnplanet,0000,0.189,0.277,0.235,0.334,0.8990666666666667,0.8990555555555556
Bbnplanet,0001,0.257,0.306,0.303,0.363,0.8992,0.8991555555555556
Bbnplanet,0002,0.254,0.237,0.3,0.294,0.899,0.898988888888889
Bbnplanet,0003,0.228,0.239,0.274,0.296,0.8989555555555555,0.8989333333333334
Bbnplanet,0004,0.153,0.315,0.199,0.372,0.8989888888888888,0.8989666666666667
Bellcanada,0000,2.109,35.035,2.298,37.486999999999995,0.899894,0.899876
Bellcanada,0001,2.071,36.377,2.2600000000000002,38.829,0.8998815,0.899953
Bellcanada,0002,2.088,33.611,2.277,36.062999999999995,0.8998775,0.8998775
Bellcanada,0003,2.041,36.671,2.23,39.123,0.8998745,0.8998745
Bellcanada,0004,2.15,51.853,2.339,54.305,0.899933,0.899904
Bellsouth,0000,1.203,16.452,1.421,18.966,0.899881,0.899881
Bellsouth,0001,1.145,16.818,1.363,19.332,0.899906,0.899906
Bellsouth,0002,1.175,16.116,1.393,18.63,0.899886,0.899886
Bellsouth,0003,1.181,16.18,1.399,18.694,0.899881,0.899881
Bellsouth,0004,1.198,16.292,1.416,18.806,0.8998925,0.8998925
Belnet2003,0000,0.349,2.693,0.40299999999999997,2.887,2.054439666666666,2.054439666666666
Belnet2003,0001,0.284,1.702,0.33799999999999997,1.896,2.71246,2.71246
Belnet2003,0002,0.395,1.781,0.449,1.9749999999999999,2.517917,2.5179169999999997
Belnet2003,0003,0.229,0.995,0.28300000000000003,1.189,0.89999,0.89999
Belnet2003,0004,0.618,1.735,0.672,1.929,2.41846,2.41846
Belnet2004,0000,0.463,2.12,0.519,2.317,2.644662,2.644662
Belnet2004,0001,0.694,7.282,0.75,7.479,1.1139668,1.1139222
Belnet2004,0002,0.762,11.958,0.8180000000000001,12.155,2.0691312,2.0691312
Belnet2004,0003,0.337,3.326,0.393,3.523,1.8017483333333333,1.8017483333333333
Belnet2004,0004,0.793,1.83,0.8490000000000001,2.027,1.9748036666666664,1.9748036666666664
Belnet2005,0000,1.373,24.496,1.429,24.685,1.0547208,1.0547244
Belnet2005,0001,0.491,2.167,0.547,2.356,0.9000916999999999,0.9000558
Belnet2005,0002,1.904,2.617,1.96,2.806,0.9000451999999999,0.9000806
Belnet2005,0003,0.432,3.856,0.488,4.045,0.9214651666666667,0.92144525
Belnet2005,0004,0.585,4.728,0.641,4.917,1.3781443999999998,1.3781444
Belnet2006,0000,0.752,7.517,0.801,7.715000000000001,1.071694,1.071694
Belnet2006,0001,0.333,1.692,0.382,1.89,3.5466366666666667,3.546636666666666
Belnet2006,0002,1.158,4.678,1.2069999999999999,4.876,1.1323209,1.0639576
Belnet2006,0003,0.639,3.263,0.6880000000000001,3.461,1.1730283333333333,1.1730283333333333
Belnet2006,0004,0.431,4.872,0.48,5.07,0.9000572999999998,0.9000201999999999
Belnet2007,0000,0.204,0.838,0.251,0.952,0.8999801999999997,0.9000323666666664
Belnet2007,0001,0.278,0.885,0.325,0.999,0.8999943333333333,0.8999806666666665
Belnet2007,0002,0.265,1.139,0.312,1.2530000000000001,0.899986,0.899986
Belnet2007,0003,0.243,0.81,0.29,0.924,0.900036,0.900046
Belnet2007,0004,0.228,0.907,0.275,1.0210000000000001,0.899993,0.899991
Belnet2008,0000,0.27,1.144,0.32,1.2679999999999998,0.8999833333333332,0.9000096666666666
Belnet2008,0001,0.253,0.861,0.303,0.985,0.9000163333333334,0.9000593333333335
Belnet2008,0002,0.205,0.827,0.255,0.951,0.9000039999999999,0.90003
Belnet2008,0003,0.247,0.986,0.297,1.1099999999999999,0.9000341666666667,0.8999829999999999
Belnet2008,0004,0.259,0.922,0.309,1.046,0.900004,0.90004
Belnet2009,0000,0.276,1.254,0.32,1.38,0.899996,0.900048
Belnet2009,0001,0.334,1.129,0.378,1.255,0.8999780000000001,0.899991
Belnet2009,0002,0.326,1.264,0.37,1.3900000000000001,0.900022,0.900006
Belnet2009,0003,0.264,1.105,0.308,1.2309999999999999,0.899985,0.900031
Belnet2009,0004,0.279,0.829,0.323,0.955,0.8999823333333331,0.9000313333333332
Belnet2010,0000,0.304,0.744,0.349,0.842,0.900010666666666,0.9000229333333334
Belnet2010,0001,0.249,0.684,0.294,0.782,0.9000363333333332,0.9000283333333333
Belnet2010,0002,0.299,0.99,0.344,1.088,0.900064,0.900004
Belnet2010,0003,0.204,0.768,0.249,0.866,0.9000315,0.9000549999999999
Belnet2010,0004,0.204,0.765,0.249,0.863,0.900028,0.900056
BeyondTheNetwork,0000,2.787,53.981,3.002,56.211,0.89999625,0.8999887499999999
BeyondTheNetwork,0001,2.795,33.354,3.01,35.583999999999996,0.8999751666666667,0.8999690833333333
BeyondTheNetwork,0002,2.884,45.154,3.0989999999999998,47.384,0.899963,0.89999925
BeyondTheNetwork,0003,2.82,28.995,3.0349999999999997,31.225,0.89992,0.899994375
BeyondTheNetwork,0004,2.744,54.031,2.959,56.260999999999996,0.9000005833333333,0.8999919166666667
Bics,0000,1.146,14.843,1.262,16.589,0.8999651666666665,0.8999643333333331
Bics,0001,0.801,19.149,0.917,20.895,0.899956,0.900029
Bics,0002,1.409,22.573,1.5250000000000001,24.319,0.9000367916666665,0.8999751666666667
Bics,0003,0.871,18.896,0.987,20.642,0.8999835,0.8999946666666666
Bics,0004,0.943,12.856,1.059,14.602,0.8999524999999999,0.899948
Biznet,0000,0.311,1.271,0.371,1.379,0.899952,0.900012
Biznet,0001,0.365,0.745,0.425,0.853,0.8999715,0.900007
Biznet,0002,0.318,0.729,0.378,0.837,0.900029,0.8999765
Biznet,0003,0.535,1.151,0.595,1.2590000000000001,0.899952,0.899958
Biznet,0004,0.445,0.712,0.505,0.82,0.899954,0.9000305
Bren,0000,0.194,0.184,0.267,0.267,0.8999297752808989,0.8999578651685394
Bren,0001,0.17,0.21,0.243,0.293,0.8999564606741574,0.899936797752809
Bren,0002,0.177,0.215,0.25,0.298,0.899941011235955,0.8999634831460674
Bren,0003,0.209,0.19,0.282,0.273,0.8999199438202248,0.8999676966292135
Bren,0004,0.232,0.263,0.305,0.34600000000000003,0.899986,0.899996
BsonetEurope,0000,0.364,1.128,0.40599999999999997,1.2409999999999999,0.9000264166666665,0.9000276666666666
BsonetEurope,0001,3.123,1.52,3.165,1.633,0.9000475833333332,0.9000280833333333
BsonetEurope,0002,0.399,1.894,0.441,2.007,0.9000406666666667,0.9000166666666665
BsonetEurope,0003,0.356,1.334,0.39799999999999996,1.447,0.9000649999999999,0.9000529166666666
BsonetEurope,0004,0.379,1.758,0.421,1.871,0.9000074166666667,0.9000732499999999
BtAsiaPac,0000,4.268,12.52,4.314,12.696,0.9000809999999999,0.9000800833333332
BtAsiaPac,0001,6.173,18.367,6.219,18.543,0.900068,0.9000864999999999
BtAsiaPac,0002,4.951,12.254,4.997,12.43,0.9000594166666667,0.900041625
BtAsiaPac,0003,1.633,5.576,1.679,5.752,0.90007575,0.9000660833333333
BtAsiaPac,0004,1.251,3.805,1.297,3.9810000000000003,0.9000705,0.9000715
BtEurope,0000,0.898,6.794,0.9550000000000001,7.2139999999999995,0.900016,0.8999905
BtEurope,0001,0.69,16.306,0.747,16.726000000000003,0.9000005,0.900049
BtEurope,0002,1.197,8.137,1.254,8.557,0.90006,0.900018
BtEurope,0003,0.62,4.385,0.677,4.805,0.900031,0.899993
BtEurope,0004,0.783,13.298,0.8400000000000001,13.718,1.1317949999999999,1.1317949999999999
BtLatinAmerica,0000,0.405,1.135,0.517,1.341,0.899748,0.899748
BtLatinAmerica,0001,0.378,1.11,0.49,1.316,0.899738,0.899738
BtLatinAmerica,0002,0.425,1.054,0.537,1.26,0.899758,0.899758
BtLatinAmerica,0003,0.403,1.136,0.515,1.3419999999999999,0.899746,0.899746
BtLatinAmerica,0004,0.381,1.012,0.493,1.218,0.89975,0.89975
BtNorthAmerica,0000,38.225,1808.519,38.402,1831.771,0.9000503194444444,0.9000418805555555
BtNorthAmerica,0001,47.495,1806.613,47.672,1829.865,0.9000544166666666,0.90005975
BtNorthAmerica,0002,41.694,942.576,41.871,965.828,0.9000769999999999,0.900089
BtNorthAmerica,0003,584.572,1807.516,584.749,1830.768,0.9000657083333332,0.9001148833333332
BtNorthAmerica,0004,44.576,1375.977,44.753,1399.229,0.9000305,0.900033
Canerie,0000,0.632,3.396,0.706,3.683,0.899991,0.899945
Canerie,0001,0.417,2.697,0.491,2.984,0.8999429999999999,0.899941
Canerie,0002,0.692,3.716,0.7659999999999999,4.003,0.899992,0.899948
Canerie,0003,0.457,3.734,0.531,4.021,0.899979,0.899947
Canerie,0004,0.666,4.163,0.74,4.45,0.899976,0.8999425
Carnet,0000,0.13,0.164,0.201,0.236,0.899842,0.899842
Carnet,0001,0.136,0.103,0.20700000000000002,0.175,0.899832,0.899832
Carnet,0002,0.129,0.129,0.2,0.201,0.899832,0.899832
Carnet,0003,0.115,0.107,0.186,0.179,0.899839,0.899839
Carnet,0004,0.138,0.105,0.20900000000000002,0.177,0.899834,0.899834
Cernet,0000,0.349,0.655,0.44299999999999995,0.801,0.9565899654704821,0.9565677419354839
Cernet,0001,0.407,0.682,0.501,0.8280000000000001,1.0418419936719183,1.0418454885623882
Cernet,0002,0.341,0.55,0.43500000000000005,0.6960000000000001,1.0376645161290323,1.0376387096774193
Cernet,0003,0.277,0.482,0.371,0.628,0.9492432,0.9492432
Cernet,0004,0.278,0.65,0.372,0.796,0.9283629001067106,0.9283477555813401
Cesnet1993,0000,0.054,0.048,0.076,0.069,0.8981666666666667,0.8981666666666667
Cesnet1993,0001,0.042,0.037,0.064,0.057999999999999996,0.8975,0.8975
Cesnet1993,0002,0.073,0.058,0.095,0.079,0.8975,0.8975
Cesnet1993,0003,0.036,0.036,0.057999999999999996,0.056999999999999995,0.8975,0.8975
Cesnet1993,0004,0.051,0.036,0.073,0.056999999999999995,0.8985,0.8985
Cesnet1997,0000,0.061,0.075,0.086,0.103,0.8994705882352941,0.8994705882352941
Cesnet1997,0001,0.05,0.043,0.07500000000000001,0.071,0.8995,0.8995
Cesnet1997,0002,0.085,0.067,0.11000000000000001,0.095,0.8994705882352941,0.8994705882352941
Cesnet1997,0003,0.042,0.041,0.067,0.069,0.8993529411764706,0.8993529411764706
Cesnet1997,0004,0.052,0.04,0.077,0.068,0.8993823529411765,0.8993823529411765
Cesnet1999,0000,0.065,0.051,0.085,0.075,0.8998774193548387,0.8998774193548387
Cesnet1999,0001,0.041,0.041,0.061,0.065,0.8998529411764706,0.8998529411764706
Cesnet1999,0002,0.064,0.043,0.084,0.067,0.89925,0.89925
Cesnet1999,0003,0.042,0.04,0.062,0.064,0.8992258064516129,0.8992258064516129
Cesnet1999,0004,0.042,0.04,0.062,0.064,0.8998529411764706,0.8998529411764706
Cesnet2001,0000,0.093,0.191,0.128,0.227,1.0581070126807588,1.0581070126807588
Cesnet2001,0001,0.094,0.061,0.129,0.097,1.0581070126807588,1.0581070126807588
Cesnet2001,0002,0.096,0.078,0.131,0.11399999999999999,1.0581092801387684,1.0581092801387684
Cesnet2001,0003,0.062,0.063,0.097,0.099,1.0581002103067303,1.0581002103067303
Cesnet2001,0004,0.063,0.061,0.098,0.097,1.0581070126807588,1.0581070126807588
Cesnet200304,0000,0.24,0.227,0.29,0.28200000000000003,0.9000075999999999,0.900074
Cesnet200304,0001,0.229,0.159,0.279,0.214,0.8999583333333332,0.8999583333333333
Cesnet200304,0002,0.293,0.227,0.34299999999999997,0.28200000000000003,0.900031,0.9000408
Cesnet200304,0003,0.153,0.215,0.203,0.27,0.9000132,0.900026
Cesnet200304,0004,0.251,0.24,0.301,0.295,0.8999533333333334,0.8999533333333333
Cesnet200511,0000,0.357,1.417,0.44399999999999995,1.611,0.900031,0.9001045
Cesnet200511,0001,0.381,1.601,0.46799999999999997,1.795,0.9000499,0.9000385371793318
Cesnet200511,0002,0.485,1.33,0.572,1.524,0.9000758,0.9000613
