Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_TotalTime,3-SR_TotalTime,2-SR_umax,3-SR_umax
Ans,0003,0.335,1.408,0.379,1.5859999999999999,0.8997722222222222,0.8997555555555555
Ans,0004,0.744,1.556,0.788,1.734,0.8997055555555528,0.8996833333333333
Arn,0000,0.076,0.081,0.122,0.127,0.8964583333333334,0.8964583333333334
Arn,0001,0.09,0.087,0.136,0.133,0.89675,0.89675
Arn,0002,0.11,0.078,0.156,0.124,0.8967916666666667,0.8967916666666667
Arn,0003,0.081,0.112,0.127,0.158,0.8964583333333334,0.8964583333333334
Arn,0004,0.079,0.092,0.125,0.138,0.8967916666666667,0.8967916666666667
Arnes,0000,0.56,4.658,0.7350000000000001,4.961,0.9025945,0.90005025
Arnes,0001,0.95,4.245,1.125,4.548,0.90529825,0.900062125
Arnes,0002,2.47,2.776,2.645,3.0789999999999997,0.900754125,0.9000575
Arnes,0003,0.693,3.158,0.8679999999999999,3.461,0.903222375,0.89999275
Arnes,0004,0.48,4.588,0.655,4.891,0.9044865,0.90006575
Arpanet196912,0000,0.036,0.035,0.051,0.049,0.962446,0.962446
Arpanet196912,0001,0.045,0.043,0.06,0.056999999999999995,1.132629,1.132629
Arpanet196912,0002,0.035,0.071,0.05,0.08499999999999999,0.923963,0.923963
Arpanet196912,0003,0.035,0.05,0.05,0.064,0.961027,0.961027
Arpanet196912,0004,0.035,0.034,0.05,0.048,1.208269,1.208269
Arpanet19706,0000,0.042,0.042,0.067,0.062,0.899989,0.899989
Arpanet19706,0001,0.053,0.087,0.078,0.107,0.899991,0.899991
Arpanet19706,0002,0.046,0.075,0.07100000000000001,0.095,0.899989,0.899989
Arpanet19706,0003,0.072,0.045,0.097,0.065,0.899991,0.899991
Arpanet19706,0004,0.043,0.043,0.068,0.063,0.899991,0.899991
Arpanet19719,0000,0.154,0.499,0.198,0.576,0.9000514999999999,0.900052
Arpanet19719,0001,0.169,0.586,0.21300000000000002,0.6629999999999999,0.9000235,0.899988
Arpanet19719,0002,0.16,0.725,0.20400000000000001,0.8019999999999999,0.90001,0.89998325
Arpanet19719,0003,0.177,0.533,0.22099999999999997,0.61,0.900033,0.90004
Arpanet19719,0004,0.209,0.502,0.253,0.579,0.900056,0.9000125
Arpanet19723,0000,0.305,1.023,0.356,1.144,0.8999955,0.900009
