Topology,2-SR_preprocTime,3-SR_preprocTime,4-SR_preprocTime,2-SR_paths,3-SR_paths,4-SR_paths,2-SR_percentage,3-SR_percentage,4-SR_percentage
Uran,0.04,0.041,0.077,642,722,722,5.056710775047259%,0.26968474525623787%,0.013449573413807234%
UsCarrier,7.087,949.624,3613.678,583290,9953918,-,14.977114125358002%,1.6488087262130091%,-
UsSignal,0.471,28.188,3600.139,72078,1148549,-,32.8224043715847%,9.012383750309946%,-
Uunet,0.292,32.235,3607.591,53396,1095815,-,47.29662698412698%,21.081798103856926%,-
Vinaren,0.041,0.047,0.063,1218,1358,1358,8.458333333333332%,0.42704402515723267%,0.020288036333213817%
VisionNet,0.04,0.053,0.045,552,552,552,4.3478260869565215%,0.2061855670103093%,0.010282776349614397%
VtlWavenet2008,1.138,19.963,595.157,85974,795591,4540412,12.90761359132346%,1.4048576416008693%,0.09543248455917663%
VtlWavenet2011,1.211,22.867,659.895,94730,871899,4967096,12.434173566519481%,1.2855776920063133%,0.08321380435510192%
WideJpn,0.059,0.064,0.076,1098,1106,1106,4.3519619500594535%,0.16194450545427924%,0.006219188727636084%
Xeex,0.067,0.433,8.874,6383,52697,320706,50.27567737870196%,19.68362468250411%,5.974181289817817%
Xspedius,0.105,2.072,226.844,17510,200777,1834337,47.2910927456382%,17.45811051693405%,5.310643045884618%
York,0.073,0.061,0.075,1344,2340,2926,12.073302191879266%,1.0462683096954197%,0.06866075392605288%
Zamren,0.064,0.075,0.065,1190,1190,1190,2.941176470588235%,0.09174311926605505%,0.0029563058002719804%
