Topology,2-SR_preprocTime,3-SR_preprocTime,4-SR_preprocTime,2-SR_paths,3-SR_paths,4-SR_paths,2-SR_percentage,3-SR_percentage,4-SR_percentage
Cogentco,24.122,3600.148,3602.212,1422276,-,-,18.793406723509875%,-,-
Colt,5.901,209.685,3607.19,425294,5044664,-,12.031247171075263%,0.9513148699652083%,-
Columbus,0.526,11.892,1458.411,73470,812688,6832851,22.04518858583131%,3.638019137149572%,0.4633382388042024%
Compuserve,0.028,0.048,0.098,944,3048,6600,39.89856297548605%,11.549829480863965%,2.4753403592994037%
CrlNetworkServices,0.092,0.258,0.992,7424,33737,102932,21.96969696969697%,3.3209892584892584%,0.3489670802251355%
Cudi,0.116,0.137,0.146,4678,5348,5846,3.669019607843137%,0.08731286019820084%,0.0020297744228284695%
Cwix,0.082,0.273,1.041,8922,40528,119004,20.231292517006803%,2.7800414317268247%,0.25484368756271836%
Cynet,0.054,0.061,0.047,870,870,870,3.4482758620689653%,0.12738853503184713%,0.004892128565138692%
Darkstrand,0.064,0.141,0.355,4670,16679,40208,22.87869880462473%,3.258813783186014%,0.32675053870605875%
Dataxchange,0.017,0.023,0.024,114,282,450,76.0%,55.294117647058826%,36.58536585365854%
Deltacom,3.971,3549.747,3600.24,460612,14421224,-,32.49531560411775%,9.247502385935263%,-
DeutscheTelekom,0.083,1.58,243.215,12378,143678,1424667,49.06064209274673%,21.03785050150084%,8.011096697138441%
Dfn,0.422,26.553,3600.412,64559,1058483,-,34.25934770380276%,10.206257457147975%,-
DialtelecomCz,4.718,164.425,3600.947,299344,3814235,-,11.557139007351777%,1.0907029728620823%,-
Digex,0.073,0.271,0.95,6828,31036,96392,24.473118279569892%,3.9634255357188466%,0.45527238789403934%
Easynet,0.042,0.085,0.331,2127,9228,30041,34.551656920077974%,9.304295220810648%,2.0100499150240205%
Eenet,0.025,0.028,0.029,156,156,156,8.333333333333332%,0.819672131147541%,0.08992805755395684%
EliBackbone,0.05,0.261,4.119,4025,30782,179897,55.747922437673125%,24.9246963562753%,9.067480518956843%
Epoch,0.017,0.033,0.024,138,330,454,92.0%,64.70588235294117%,36.91056910569105%
Ernet,0.067,0.104,0.142,3770,9448,14113,14.942528735632186%,1.383410205725163%,0.07935932234460041%
Esnet,0.403,1.349,11.705,38354,216440,872461,12.564700640782043%,1.0903508084333629%,0.06865739507446372%
