Topology,DemandFile,TabuIGPWO,MIP,2-SR full,3-SR full,2-SRPP,2-SRPP-adj,3-SRPP,3-SRPP-adj,2-CG4SR,3-CG4SR
Arnes,0001,1802.131207085,1.452961962,0.669,18.294,0.611,1.125,2.754,4.548,8.607773006,8.684948517
Arnes,0002,1800.270006517,1.662628435,0.709,19.428,0.5599999999999999,2.645,2.6510000000000002,3.0789999999999997,7.430594594,7.425557247
Arnes,0003,1802.622360896,1.728619346,0.786,18.488,0.6819999999999999,0.8679999999999999,2.717,3.461,8.17887354,7.556646067
Arnes,0004,1800.424075258,1.492890575,0.582,17.602,0.423,0.655,1.786,4.891,6.737858971,6.683117051
Arpanet196912,0000,1800.002384823,0.031086481,0.033,0.036,0.051,0.051,0.049,0.049,0.149484576,0.146469061
Arpanet196912,0001,1800.000571905,0.031191196,0.031,0.041,0.06,0.06,0.056999999999999995,0.056999999999999995,0.146993518,0.152229571
Arpanet196912,0002,1800.005784028,0.031795419,0.033,0.036,0.05,0.05,0.08499999999999999,0.08499999999999999,0.164680374,0.171263884
Arpanet196912,0003,1800.002159269,0.031663302,0.032,0.041,0.05,0.05,0.064,0.064,0.162878746,0.154333604
Arpanet196912,0004,1800.011172612,0.032882847,0.032,0.041,0.05,0.05,0.048,0.048,0.14626958,0.149340947
Arpanet19706,0000,1800.036078288,0.060473823,0.042,0.135,0.067,0.067,0.062,0.062,0.197457779,0.202930818
Arpanet19706,0001,1800.021418789,0.036441766,0.045,0.085,0.078,0.078,0.107,0.107,0.189929311,0.201982225
Arpanet19706,0002,1800.051776281,0.045624039,0.045,0.095,0.07100000000000001,0.07100000000000001,0.095,0.095,0.187462039,0.18555819
Arpanet19706,0003,1800.02201069,0.035267458,0.045,0.087,0.097,0.097,0.065,0.065,0.19856727,0.190905047
Arpanet19706,0004,1800.034846785,0.035591591,0.04,0.131,0.068,0.068,0.063,0.063,0.235574355,0.189661108
Arpanet19719,0000,1800.149856329,0.253354341,0.229,1.547,0.198,0.198,0.576,0.576,0.682213562,0.745034607
Arpanet19719,0001,1800.207853635,0.199941421,0.177,1.646,0.21300000000000002,0.21300000000000002,0.6629999999999999,0.6629999999999999,0.723120719,0.814660852
Arpanet19719,0002,1800.088258899,0.318280542,0.243,1.648,0.20400000000000001,0.20400000000000001,0.8019999999999999,0.8019999999999999,0.769004887,0.743659162
Arpanet19719,0003,1800.201981411,0.253137966,0.184,1.695,0.22099999999999997,0.22099999999999997,0.61,0.61,0.667030435,0.842791437
Arpanet19719,0004,1800.237080417,0.20473317,0.193,1.654,0.253,0.253,0.579,0.579,0.816593286,0.98794172
Arpanet19723,0000,1800.562990024,0.521470903,0.608,7.18,0.356,0.356,1.144,1.144,1.746872467,2.038547987
Arpanet19723,0001,1800.874471409,0.494305671,0.526,6.984,0.49,0.49,1.329,1.329,1.766248046,1.878255316
Arpanet19723,0002,1800.165908971,0.516283085,0.426,6.607,0.39699999999999996,0.39699999999999996,1.417,1.417,1.724807966,1.937584014
Arpanet19723,0003,1800.522456723,0.526591021,0.39,6.617,0.321,0.321,1.3739999999999999,1.3739999999999999,1.771029858,1.787810323
Arpanet19723,0004,1800.124125492,0.734226602,0.428,6.96,0.42,0.42,1.045,1.045,2.078036093,2.005387937
Arpanet19728,0000,1800.492382364,1.646337593,1.315,21.179,1.5,1.5,8.873,8.873,4.366280755,3.82564962
Arpanet19728,0001,1800.180915908,1.680297376,1.03,19.882,1.2510000000000001,1.2510000000000001,13.299,13.299,3.452946208,3.496773559
Arpanet19728,0002,1801.260870886,3.130831446,1.841,19.374,1.443,1.443,6.31,6.31,3.415107752,3.239171026
Arpanet19728,0003,1800.115278204,2.520320166,1.169,19.418,1.079,1.079,15.552999999999999,15.552999999999999,4.506015844,4.397453261
Arpanet19728,0004,1800.041891067,2.061006339,1.049,19.0,0.881,0.881,6.053,6.053,3.74391667,3.56449383
AsnetAm,0000,1800.32472689,3.93594563,4.31,952.214,1.766,1.766,19.976000000000003,19.976000000000003,146.809555477,142.959170189
AsnetAm,0001,1800.750628627,3.326367843,4.561,938.272,1.814,1.814,17.674,17.674,148.904457544,146.773032043
AsnetAm,0002,1816.394030475,7.119878901,4.16,1063.564,1.587,1.587,14.218,14.218,184.599570585,152.138414284
AsnetAm,0003,1801.077952765,4.320353097,4.279,964.108,1.779,1.779,18.082,18.082,146.123598873,147.719215521
AsnetAm,0004,1803.391528931,6.542043287,5.383,1258.895,2.151,2.151,17.613,17.613,239.193307663,207.315044702
Atmnet,0000,1800.038469027,0.186902748,0.264,2.74,0.21999999999999997,0.21999999999999997,0.333,0.333,1.177063189,1.146864415
Atmnet,0001,1800.001031963,0.486309255,0.553,2.812,0.282,0.282,0.46599999999999997,0.46599999999999997,1.173525505,1.194685116
Atmnet,0002,1800.061136822,0.475794849,0.332,2.82,0.253,0.253,0.363,0.363,1.049178954,1.160467013
Atmnet,0003,1800.038865611,0.346728723,0.229,2.882,0.24,0.24,0.511,0.511,1.00965249,1.018205064
Atmnet,0004,1800.050386488,0.592937365,0.23,2.858,0.33499999999999996,0.33499999999999996,0.451,0.451,1.010928805,1.017813424
AttMpls,0000,1800.873195487,1296.314093012,142.369,1803.149,194.415,194.415,435.99899999999997,435.99899999999997,666.279290834,4.194534307
AttMpls,0001,1800.099283798,1801.129701703,220.315,1802.83,131.75900000000001,131.75900000000001,1804.365,1804.365,1302.623413865,132.509474514
AttMpls,0002,1800.047529276,13.960096098,5.23,135.702,5.715,5.715,277.23299999999995,277.23299999999995,19.651817551,12.097275295
AttMpls,0003,1800.389815503,9.061447807,8.471,234.208,12.175999999999998,12.175999999999998,169.512,169.512,8.296432105,6.226367492
AttMpls,0004,1800.559668858,13.322483173,8.913,32.989,9.405999999999999,9.405999999999999,51.451,51.451,4.256594975,7.196435748
Azrena,0000,1800.176949715,0.130521222,0.153,2.412,0.131,0.131,0.119,0.119,1.126245436,1.215052097
Azrena,0001,1800.493399503,0.13859533,0.147,2.424,0.135,0.135,0.10799999999999998,0.10799999999999998,1.15977364,1.248300948
Azrena,0002,1800.492140353,0.133536603,0.149,2.612,0.098,0.098,0.11099999999999999,0.11099999999999999,1.088606198,0.9400677
Azrena,0003,1800.589826978,0.127112326,0.188,2.666,0.105,0.105,0.147,0.147,1.0213694,1.169670247
Azrena,0004,1800.145747581,0.12731144,0.215,2.361,0.111,0.111,0.141,0.141,1.105775016,1.10733876
Bandcon,0000,1800.227389936,0.374268585,0.316,3.475,0.363,0.363,1.927,1.927,1.298504827,1.466879607
Bandcon,0001,1800.176686928,0.349452177,0.304,3.028,0.33699999999999997,0.33699999999999997,1.272,1.272,1.310207322,1.258051198
Bandcon,0002,1800.097855627,0.31905459,0.27,3.22,0.257,0.257,1.166,1.166,1.304816956,1.300569223
Bandcon,0003,1800.347004739,0.648520367,0.266,3.405,0.284,0.284,1.481,1.481,1.266328056,1.250375677
Bandcon,0004,1800.291223047,0.353338681,0.243,3.178,0.237,0.237,1.164,1.164,1.237639951,1.31015927
Basnet,0000,1800.001505433,0.032337768,0.065,0.061,0.072,0.072,0.049,0.049,0.163732294,0.187645096
Basnet,0001,1800.001634179,0.032319022,0.033,0.048,0.059,0.059,0.048,0.048,0.184742376,0.170211441
Basnet,0002,1800.01826394,0.032268061,0.033,0.101,0.051000000000000004,0.051000000000000004,0.069,0.069,0.16713722,0.175090869
Basnet,0003,1800.002537565,0.031917276,0.034,0.059,0.06999999999999999,0.06999999999999999,0.059000000000000004,0.059000000000000004,0.172576033,0.168105655
Basnet,0004,1800.013122047,0.032454697,0.034,0.05,0.056999999999999995,0.056999999999999995,0.052000000000000005,0.052000000000000005,0.166897081,0.161124462
Bbnplanet,0000,1800.592108312,0.402738012,0.356,5.946,0.235,0.235,0.334,0.334,1.930478133,2.302451472
Bbnplanet,0001,1800.740356874,0.535247013,0.307,5.751,0.303,0.303,0.363,0.363,2.00034159,2.132838482
Bbnplanet,0002,1800.167685379,0.505288747,0.304,5.979,0.3,0.3,0.294,0.294,2.022420941,1.963590419
Bbnplanet,0003,1800.295062448,0.46493544,0.297,5.779,0.274,0.274,0.296,0.296,1.996040345,2.074391206
Bbnplanet,0004,1800.144048823,0.64719721,0.315,5.832,0.199,0.199,0.372,0.372,2.243835207,2.230759831
Bellcanada,0000,1801.989656406,15.255099469,2.977,996.598,2.298,2.298,37.486999999999995,37.486999999999995,44.955776153,41.169926903
Bellcanada,0001,1802.610354949,11.690210176,3.298,606.063,2.2600000000000002,2.2600000000000002,38.829,38.829,42.837338903,41.562439436
Bellcanada,0002,1801.336803739,28.28030884,3.499,625.648,2.277,2.277,36.062999999999995,36.062999999999995,47.436752135,43.768668591
Bellcanada,0003,1800.970587746,19.335594586,3.166,617.275,2.23,2.23,39.123,39.123,47.210976014,46.649423106
Bellcanada,0004,1803.585415542,7.058961035,3.419,591.492,2.339,2.339,54.305,54.305,40.767901049,41.721384667
Bellsouth,0000,1804.696223359,2.743301258,2.278,478.101,1.421,1.421,18.966,18.966,48.349561471,45.662049582
Bellsouth,0001,1800.106695658,2.743303152,2.338,478.538,1.363,1.363,19.332,19.332,50.270842926,50.339900132
Bellsouth,0002,1803.345575626,1.874125698,2.233,475.567,1.393,1.393,18.63,18.63,49.338630556,46.485591038
Bellsouth,0003,1802.733088747,2.226965293,2.22,442.898,1.399,1.399,18.694,18.694,43.242134073,44.675384542
Bellsouth,0004,1800.591376101,2.802062858,2.37,512.368,1.416,1.416,18.806,18.806,49.495243434,47.651948827
Belnet2003,0000,1800.166482096,8.870478187,0.339,5.706,0.40299999999999997,0.40299999999999997,2.887,2.887,2.105255888,2.092201251
Belnet2003,0001,1800.983028246,1.068759449,0.363,4.805,0.33799999999999997,0.33799999999999997,1.896,1.896,1.85073805,1.772782902
Belnet2003,0002,1800.45915248,13.792015162,0.356,4.887,0.449,0.449,1.9749999999999999,1.9749999999999999,2.168881409,2.041055509
Belnet2003,0003,1800.502037848,0.387775148,0.275,3.816,0.28300000000000003,0.28300000000000003,1.189,1.189,1.977542861,2.047518404
Belnet2003,0004,1800.056015529,21.047106977,0.379,5.179,0.672,0.672,1.929,1.929,1.78251242,1.870340934
Belnet2004,0000,1800.46777361,3.209571859,0.387,4.915,0.519,0.519,2.317,2.317,1.949828184,2.183597504
Belnet2004,0001,1800.304503245,2.190257408,0.598,11.594,0.75,0.75,7.479,7.479,2.30735231,2.353390594
Belnet2004,0002,1800.252536734,13.657481436,2.605,14.645,0.8180000000000001,0.8180000000000001,12.155,12.155,2.043892015,2.374512676
Belnet2004,0003,1800.05655184,22.934427991,0.335,5.459,0.393,0.393,3.523,3.523,1.731683762,2.046536352
Belnet2004,0004,1800.566513899,13.033021449,0.748,5.415,0.8490000000000001,0.8490000000000001,2.027,2.027,2.274017021,2.342712857
Belnet2005,0000,1801.079246867,5.611382354,0.587,9.64,1.429,3.343,24.685,8.318,2.287052725,2.463178912
Belnet2005,0001,1800.771569128,0.56322477,0.586,4.752,0.547,0.509,2.356,7.176,2.397079911,2.380059882
Belnet2005,0002,1800.055291915,2.130087916,0.756,5.129,1.96,1.491,2.806,4.656000000000001,2.365882041,2.504531712
Belnet2005,0003,1800.51675112,1.111944709,0.447,7.82,0.488,0.754,4.045,17.871,2.332104078,2.245198447
Belnet2005,0004,1800.214143474,1.585596,0.541,7.013,0.641,0.994,4.917,6.594,2.302126091,2.235249639
Belnet2006,0000,1800.292838496,9.597465898,0.753,11.082,0.801,13.023,7.715000000000001,32.806000000000004,2.356990176,2.458831895
Belnet2006,0001,1800.142896463,1.069152102,0.374,4.776,0.382,1.5870000000000002,1.89,3.5149999999999997,1.921719376,1.8049822
Belnet2006,0002,1800.019768967,8.857492403,1.018,8.075,1.2069999999999999,2.347,4.876,4.446000000000001,2.457008573,2.524728904
Belnet2006,0003,1800.255516187,11.135159423,0.677,5.186,0.6880000000000001,1.071,3.461,3.606,2.348625073,2.429880793
Belnet2006,0004,1800.026115052,1.084818773,0.467,4.39,0.48,0.46799999999999997,5.07,3.426,2.095019272,2.499343586
Belnet2007,0000,1800.019239556,0.214945581,0.274,3.864,0.251,0.251,0.952,0.952,1.17966041,1.260755414
Belnet2007,0001,1800.09067065,0.346481771,0.289,3.731,0.325,0.325,0.999,0.999,1.261248492,1.273994644
Belnet2007,0002,1800.49152514,0.359595513,0.326,3.922,0.312,0.312,1.2530000000000001,1.2530000000000001,1.265701038,1.333852134
Belnet2007,0003,1800.047876126,0.284758699,0.251,3.72,0.29,0.29,0.924,0.924,1.361484842,1.367313734
Belnet2007,0004,1800.140012224,0.357920516,0.239,3.838,0.275,0.275,1.0210000000000001,1.0210000000000001,1.224577648,1.294439919
Belnet2008,0000,1800.282820132,0.278261458,0.257,3.664,0.32,0.32,1.2679999999999998,1.2679999999999998,1.019110923,1.365632
Belnet2008,0001,1800.115299451,0.396085837,0.234,3.75,0.303,0.303,0.985,0.985,1.236993619,1.402820884
Belnet2008,0002,1800.167322284,0.400590593,0.267,3.69,0.255,0.255,0.951,0.951,1.277284677,1.582450357
Belnet2008,0003,1800.124575294,0.376092665,0.374,3.859,0.297,0.297,1.1099999999999999,1.1099999999999999,1.474263741,1.246043388
Belnet2008,0004,1800.381104161,0.473524602,0.277,3.901,0.309,0.309,1.046,1.046,1.211818915,1.514811771
Belnet2009,0000,1800.06102797,0.299896406,0.303,4.371,0.32,0.32,1.38,1.38,1.33218754,1.301462295
Belnet2009,0001,1800.06856826,0.498201573,0.336,3.882,0.378,0.378,1.255,1.255,1.330623753,1.384669299
Belnet2009,0002,1800.045094927,0.376695431,0.32,4.348,0.37,0.37,1.3900000000000001,1.3900000000000001,1.268153098,1.143763858
Belnet2009,0003,1800.662438106,0.376637981,0.29,4.193,0.308,0.308,1.2309999999999999,1.2309999999999999,1.140358137,1.146233121
Belnet2009,0004,1800.105116496,0.242033138,0.279,3.719,0.323,0.323,0.955,0.955,1.215290755,1.408159805
Belnet2010,0000,1800.05219917,0.550885952,0.261,4.354,0.349,0.349,0.842,0.842,1.528504764,1.619763759
Belnet2010,0001,1800.246733118,0.582867538,0.28,4.242,0.294,0.294,0.782,0.782,1.538234905,1.632264793
Belnet2010,0002,1800.377073572,0.50434791,0.332,4.553,0.344,0.344,1.088,1.088,1.540126805,1.568984012
Belnet2010,0003,1800.429049975,0.60511441,0.269,4.371,0.249,0.249,0.866,0.866,1.44071344,1.452544184
Belnet2010,0004,1800.027919021,0.404298614,0.247,4.122,0.249,0.249,0.863,0.863,1.518323582,1.42222553
BeyondTheNetwork,0000,1807.902436073,10.968496247,3.752,983.909,3.002,3.002,56.211,56.211,84.615057837,72.071645759
BeyondTheNetwork,0001,1802.261841455,8.584283687,3.658,863.525,3.01,3.01,35.583999999999996,35.583999999999996,69.653445547,68.943830146
BeyondTheNetwork,0002,1800.973838192,11.135596849,3.987,958.046,3.0989999999999998,3.0989999999999998,47.384,47.384,74.289523804,74.967063241
BeyondTheNetwork,0003,1807.78184394,53.295428721,4.909,1844.171,3.0349999999999997,3.0349999999999997,31.225,31.225,79.307841034,75.84493959
BeyondTheNetwork,0004,1800.435283859,7.672756164,3.712,830.428,2.959,2.959,56.260999999999996,56.260999999999996,82.95733108,74.467793301
Bics,0000,1801.440357785,2.70496056,1.213,36.291,1.262,1.262,16.589,16.589,8.119111303,7.575896962
Bics,0001,1800.414415978,1.812633121,1.046,34.56,0.917,0.917,20.895,20.895,7.616482237,7.267098911
Bics,0002,1800.055875517,2.369413193,1.491,40.66,1.5250000000000001,1.5250000000000001,24.319,24.319,10.389972985,10.506663552
Bics,0003,1800.075542575,2.742963781,1.135,36.085,0.987,0.987,20.642,20.642,7.386798113,7.53412651
Bics,0004,1800.811245028,1.774639794,1.037,32.907,1.059,1.059,14.602,14.602,7.362406009,7.615713977
Biznet,0000,1800.025007686,1.417933264,0.582,13.88,0.371,0.371,1.379,1.379,3.893912135,4.029928406
Biznet,0001,1800.646101778,1.309230936,0.517,13.78,0.425,0.425,0.853,0.853,3.215335625,3.194648642
Biznet,0002,1800.279799192,1.140291963,0.629,14.037,0.378,0.378,0.837,0.837,3.149115818,3.477364117
Biznet,0003,1800.215265484,1.697060841,0.611,14.223,0.595,0.595,1.2590000000000001,1.2590000000000001,3.757856255,3.826778943
Biznet,0004,1800.773398175,1.307590694,0.495,13.894,0.505,0.505,0.82,0.82,3.414826118,3.001963648
Bren,0000,1800.968226783,1.570537579,0.572,22.238,0.267,0.267,0.267,0.267,7.061037579,6.991941452
Bren,0001,1800.641438768,1.953054191,0.576,21.985,0.243,0.243,0.293,0.293,6.490065678,6.907575179
Bren,0002,1800.369470948,1.58941703,0.63,22.422,0.25,0.25,0.298,0.298,7.868378176,8.589887684
Bren,0003,1801.445503058,1.320741897,0.633,21.9,0.282,0.282,0.273,0.273,7.884026373,7.940097197
Bren,0004,1800.020299243,2.061285694,0.662,22.394,0.305,0.305,0.34600000000000003,0.34600000000000003,7.976717144,7.441559985
BsonetEurope,0000,1800.166592428,0.538233422,0.366,2.747,0.40599999999999997,0.40599999999999997,1.2409999999999999,1.2409999999999999,1.033614807,1.120111502
BsonetEurope,0001,1800.032779575,2.115938971,6.007,2.618,3.165,3.165,1.633,1.633,2.726336197,1.521213816
BsonetEurope,0002,1800.111361508,0.287222443,0.307,2.2,0.441,0.441,2.007,2.007,0.922815586,1.012383013
BsonetEurope,0003,1800.049841803,0.452969086,0.479,2.463,0.39799999999999996,0.39799999999999996,1.447,1.447,1.130797482,0.967073329
BsonetEurope,0004,1800.006971424,0.837256853,0.515,3.974,0.421,0.421,1.871,1.871,1.976843517,1.886365841
BtAsiaPac,0000,1800.296022479,11.528839186,3.202,7.611,4.314,4.314,12.696,12.696,1.966609511,3.88793227
BtAsiaPac,0001,1800.018953892,2.927194791,7.398,28.271,6.219,6.219,18.543,18.543,9.060690185,5.110905204
BtAsiaPac,0002,1800.054991378,12.057357013,3.564,13.942,4.997,4.997,12.43,12.43,3.727316509,1.80454471
BtAsiaPac,0003,1800.026786163,3.996544357,1.618,8.54,1.679,1.679,5.752,5.752,1.696492639,1.682650866
BtAsiaPac,0004,1800.082740541,1.628724964,1.556,7.219,1.297,1.297,3.9810000000000003,3.9810000000000003,3.195280864,3.761667327
BtEurope,0000,1800.517324857,1.807138463,0.815,9.349,0.9550000000000001,0.9550000000000001,7.2139999999999995,7.2139999999999995,2.888571576,2.840253676
BtEurope,0001,1800.133374887,1.580321599,0.868,10.316,0.747,0.747,16.726000000000003,16.726000000000003,2.528752567,2.851271571
BtEurope,0002,1800.307441075,3.09435636,1.147,18.988,1.254,1.254,8.557,8.557,2.703435579,2.210204448
BtEurope,0003,1800.786608087,0.752930873,0.902,8.895,0.677,0.677,4.805,4.805,2.454190847,2.486318027
BtEurope,0004,1800.084911791,2.018526301,0.811,17.392,0.8400000000000001,0.8400000000000001,13.718,13.718,2.669228133,2.593906119
BtLatinAmerica,0000,1803.911395839,1.019054673,1.406,361.874,0.517,0.517,1.341,1.341,18.737302669,19.055964513
BtLatinAmerica,0001,1801.389654977,1.196995784,1.324,375.496,0.49,0.49,1.316,1.316,18.869219906,19.275783844
BtLatinAmerica,0002,1803.394075974,0.930034158,1.393,365.473,0.537,0.537,1.26,1.26,18.395098214,19.114639132
BtLatinAmerica,0003,1802.101292883,1.120240596,1.343,390.192,0.515,0.515,1.3419999999999999,1.3419999999999999,18.310907854,19.014586796
BtLatinAmerica,0004,1802.409191142,0.93543339,1.331,380.203,0.493,0.493,1.218,1.218,18.184684194,19.357567975
BtNorthAmerica,0000,1803.065654605,130.034579935,253.732,1810.234,38.402,38.402,1831.771,1831.771,76.730620944,65.943632373
BtNorthAmerica,0001,1801.816522823,60.583040703,32.509,845.298,47.672,47.672,1829.865,1829.865,24.565335267,31.001391713
BtNorthAmerica,0002,1801.245592322,61.329661339,135.058,1811.417,41.871,41.871,965.828,965.828,-,66.261426399
BtNorthAmerica,0003,1800.494576849,1665.847803007,215.633,1810.707,584.749,584.749,1830.768,1830.768,197.493652485,-
BtNorthAmerica,0004,1804.455892301,25.351957515,18.03,690.307,44.753,44.753,1399.229,1399.229,-,891.570263982
Canerie,0000,1800.179269046,1.026294589,0.735,18.528,0.706,0.706,3.683,3.683,6.695919971,6.081672141
Canerie,0001,1800.839269037,0.59429676,0.627,17.719,0.491,0.491,2.984,2.984,5.959565995,4.860568877
Canerie,0002,1800.268754554,1.192930761,0.77,18.631,0.7659999999999999,0.7659999999999999,4.003,4.003,5.823664731,5.826186067
Canerie,0003,1800.129754069,0.928476971,0.691,17.804,0.531,0.531,4.021,4.021,7.479316962,6.775503113
Canerie,0004,1800.185761398,1.22323153,0.818,18.8,0.74,0.74,4.45,4.45,7.933884458,6.549527967
Carnet,0000,1800.348374984,0.655037383,0.756,51.331,0.201,0.201,0.236,0.236,13.864806251,14.071200052
Carnet,0001,1801.809239556,0.604775576,0.705,59.504,0.20700000000000002,0.20700000000000002,0.175,0.175,14.510185552,14.218576953
Carnet,0002,1800.121510466,0.681702043,0.736,54.295,0.2,0.2,0.201,0.201,14.533222092,14.569935521
Carnet,0003,1801.291511114,0.657918807,0.713,53.049,0.186,0.186,0.179,0.179,14.625031405,14.384743179
Carnet,0004,1804.158979723,0.69438313,0.731,53.813,0.20900000000000002,0.20900000000000002,0.177,0.177,14.715939782,14.392944035
Cernet,0000,1801.130661937,3.694556109,0.809,132.632,0.44299999999999995,0.776,0.801,2.167,18.779378667,19.365582088
