Topology,DemandFile,InvCap,TabuIGPWO,MIP,2-SR full,3-SR full,2-SRPP,2-SRPP-adj,3-SRPP,3-SRPP-adj,2-CG4SR,3-CG4SR
Aarnet,0000,1.226691525,0.8999912,0.9432922,0.9432922,0.9432921999999999,0.9432922,0.8999911999999999,0.9432921999999999,0.8999912,0.9432922,0.9432922
Aarnet,0001,0.9335895,0.8999904,0.9335895,0.9335895,0.9335895,0.9335895,0.8999904,0.9335895,0.8999904,0.9335895,0.9335895
Aarnet,0002,1.25085615,0.9000125,0.9634367,0.9634366999999998,0.9634366999999999,0.9634367,0.900053525,0.9634367,0.90013475,0.9634367,0.9634367
Aarnet,0003,1.060537775,0.8999904,0.9720654,0.9720654,0.9720654,0.9720654,0.8999904,0.9720654,0.8999904,0.9720654,0.9720654
Aarnet,0004,1.1249961,0.9000095,1.1249961,1.1249961,1.1249961,1.1249961,0.9312185,1.1249961,0.9312185,1.1249961,1.1249961
Abilene,0000,1.2770134819878471,0.9000167281539352,0.9000321753231095,0.9000525454925411,0.900022203735854,0.9000360685120885,0.9000360685120885,0.9000417450327932,0.9000417450327932,0.9000093436535493,0.9000709313914609
Abilene,0001,1.3379562817483281,0.899999497653035,0.9000570917325746,0.900046718267747,0.9000255694605196,0.9000108506944444,0.9000108506944444,0.9000588499469522,0.9000588499469522,0.9000670633198302,0.9000670633198302
Abilene,0002,1.1369629408596964,0.9000582471305941,0.9000452614615484,0.9000396351755401,0.9000810034481096,0.9000662093299897,0.9000662093299897,0.9000195412969393,0.9000195412969393,0.9000528469007202,0.9000047220614712
Abilene,0003,1.104416333108282,0.9000900205761316,0.9000792703510803,0.9000174314396862,0.9000892168209876,0.9,0.9,0.9000753018100566,0.9000753018100566,0.9000338079507458,0.9000157736947016
Abilene,0004,1.2470709655510546,0.9068785365226337,0.900012106561857,0.9000644259982639,0.9000639738859953,0.9000458642779063,0.9000458642779063,0.9000334311905221,0.9000334311905221,0.9000313966853137,0.9000513900945216
Abvt,0000,0.9851180833333334,0.8999685,0.9000326666666666,0.9000261666666667,0.9000070833333332,0.89998375,0.89998375,0.9000279166666666,0.9000279166666666,0.90000975,0.90000975
Abvt,0001,1.0218915833333333,0.899971,0.9000128333333334,0.8999703333333332,0.9000131666666668,0.9000313333333333,0.9000313333333333,0.8999877499999999,0.8999877499999999,0.9000545833333332,0.9000545833333332
Abvt,0002,1.25897425,0.899972,0.9000381666666666,0.8999981666666668,0.9000234166666665,0.9000019166666667,0.9000019166666667,0.9000347499999997,0.9000347499999997,0.90001775,0.90001775
Abvt,0003,1.0832241666666664,0.89997,0.9000243333333334,0.9000456666666666,0.8999695,0.8999901666666668,0.8999901666666668,0.8999695,0.8999695,0.8999953333333334,0.8999953333333334
Abvt,0004,1.1959341666666665,0.899966,0.9000335,0.9000126666666666,0.9000411666666667,0.8999935,0.8999935,0.9000284999999999,0.9000284999999999,0.9000493333333334,0.9000493333333334
Aconet,0000,1.092930113207547,0.9000005283018868,0.9000591698113207,0.900013962264151,0.9000828679245283,0.9000464905660378,0.9000464905660378,0.8999990943396227,0.8999990943396227,0.9000307924528302,0.9000307924528302
Aconet,0001,0.9427636981132076,0.9000290566037736,0.8999971320754717,0.9000201509433963,0.8999964528301887,0.900012679245283,0.900012679245283,0.9000368301886793,0.9000368301886793,0.9000005283018868,0.9000005283018868
Aconet,0002,1.1188276981132075,0.8999977358490566,0.9000374339622641,0.9000562264150943,0.9000343396226415,0.9000716226415094,0.9000716226415094,0.9000498113207547,0.9000498113207547,0.9000181886792453,0.9000181886792453
Aconet,0003,1.013566641509434,0.9000086037735849,0.9000732830188679,0.9000615094339622,0.9000067169811321,0.9000538113207547,0.9000538113207547,0.9000401509433962,0.9000401509433962,0.9013927547169811,0.9013927547169811
Aconet,0004,1.0244360754716981,0.9000458113207547,0.9000187169811321,0.9000647547169811,0.9000636981132075,0.9000307924528302,0.9000307924528302,0.9000651320754717,0.9000651320754717,0.9000785660377358,0.9000785660377358
Agis,0000,1.3252451612903227,0.9005,0.8997903225806452,0.8997999999999999,0.8998225806451613,0.8998129032258064,0.8998129032258064,0.8998064516129032,0.8998064516129032,0.8997555555555555,0.8998129032258064
Agis,0001,1.372232258064516,0.9935111111111111,0.8998032258064517,0.8997741935483871,0.8997774193548387,0.8997666666666667,0.8997666666666667,0.8997612903225807,0.8997612903225807,0.8997741935483871,0.8998222222222222
Agis,0002,1.2767322580645162,0.9019903225806452,0.8997677419354839,0.899711111111111,0.8997806451612903,0.8997193548387097,0.8997193548387097,0.8997774193548387,0.8997774193548387,0.8997516129032258,0.8997645161290323
Agis,0003,1.2994354838709676,0.9025870967741936,0.8998,0.8998,0.8997777777777778,0.8998193548387097,0.8998193548387097,0.8998,0.8998,0.899816129032258,0.899816129032258
Agis,0004,1.3048483870967742,0.9115444444444445,0.8997935483870968,0.8997354838709677,0.8998129032258064,0.8997967741935484,0.8997967741935484,0.8997903225806452,0.8997903225806452,0.8998064516129032,0.8997333333333334
Ai3,0000,0.899993,0.899993,0.899993,0.899993,0.899993,0.899993,0.899993,0.899993,0.899993,0.899993,0.899993
Ai3,0001,0.899994,0.899994,0.899994,0.899994,0.899994,0.899994,0.899994,0.899994,0.899994,0.899994,0.899994
Ai3,0002,0.899992,0.899992,0.899992,0.899992,0.899992,0.899992,0.899992,0.899992,0.899992,0.899992,0.899992
Ai3,0003,0.899993,0.899993,0.899993,0.899993,0.899993,0.899993,0.899993,0.899993,0.899993,0.899993,0.899993
Ai3,0004,0.899991,0.899991,0.899991,0.899991,0.899991,0.899991,0.899991,0.899991,0.899991,0.899991,0.899991
Airtel,0000,1.6175426666666666,1.121988,0.9000175,0.9000336666666666,0.9000363333333333,0.9000526666666666,0.9000526666666666,0.900083,0.900083,0.9000568333333334,0.9001043333333334
Airtel,0001,1.1332566000000002,0.9516315,0.9000133999999999,0.9000460999999997,0.9000306,0.9000428,0.9000428,0.900025,0.900025,0.9042680000000001,0.9042680000000001
Airtel,0002,1.796209571428571,1.267923,0.8999930000000002,0.899993,0.899993,0.899993,0.899993,0.899993,0.899993,1.0394822,1.0155786
Airtel,0003,2.277398285714286,1.27991,0.9000373333333334,0.900037,0.900059,0.9000479999999997,0.9000479999999997,0.9000836666666666,0.9000836666666666,0.9495676666666666,0.97414625
Airtel,0004,1.3525703333333334,0.935789,0.9000835000000001,0.9000679999999999,0.900077,0.9000661666666666,0.9000661666666666,0.9000236666666663,0.9000236666666663,0.9607806666666666,0.9607806666666666
Amres,0000,0.899929,0.899929,0.899929,0.899929,0.899929,0.899929,0.899929,0.899929,0.899929,0.899929,0.899929
Amres,0001,0.899926,0.899926,0.899926,0.899926,0.899926,0.899926,0.899926,0.899926,0.899926,0.899926,0.899926
Amres,0002,0.899926,0.899926,0.899926,0.899926,0.899926,0.899926,0.899926,0.899926,0.899926,0.899926,0.899926
Amres,0003,0.899926,0.899926,0.899926,0.899926,0.899926,0.899926,0.899926,0.899926,0.899926,0.899926,0.899926
Amres,0004,0.899943,0.899943,0.899943,0.899943,0.899943,0.899943,0.899943,0.899943,0.899943,0.899943,0.899943
Ans,0000,1.2010194444444444,0.9022666666666667,0.8997111111111111,0.8997722222222222,0.8997722222222222,0.8997777777777778,0.8997777777777778,0.8997777777777778,0.8997777777777778,0.89975,0.8997444444444445
Ans,0001,1.366475,0.9092,0.8999,0.8999111111111111,0.8998777777777778,0.8998666666666667,0.8998666666666667,0.8998777777777777,0.8998777777777777,0.8999111111111111,0.8998666666666667
Ans,0002,1.1603055555555555,0.9014,0.8997333333333334,0.8997777777777778,0.899794444444444,0.8997277777777778,0.8997277777777778,0.8997666666666667,0.8997666666666667,0.9000888888888889,0.9000888888888889
Ans,0003,1.1101583333333334,0.9008555555555555,0.8997222222222222,0.8997277777777778,0.8997833333333334,0.8997722222222222,0.8997722222222222,0.8997555555555555,0.8997555555555555,0.8997472222222223,0.8997722222222222
Ans,0004,1.4288194444444444,0.9018,0.8997,0.8997472222222218,0.8997222222222222,0.8997055555555528,0.8997055555555528,0.8996833333333333,0.8996833333333333,0.8997,0.8997083333333333
Arn,0000,0.8964583333333334,0.8964583333333334,0.8964583333333334,0.8964583333333334,0.8964583333333334,0.8964583333333334,0.8964583333333334,0.8964583333333334,0.8964583333333334,0.8964583333333334,0.8964583333333334
Arn,0001,0.89675,0.89675,0.89675,0.89675,0.89675,0.89675,0.89675,0.89675,0.89675,0.89675,0.89675
Arn,0002,0.8967916666666667,0.8967916666666667,0.8967916666666667,0.8967916666666667,0.8967916666666667,0.8967916666666667,0.8967916666666667,0.8967916666666667,0.8967916666666667,0.8967916666666667,0.8967916666666667
Arn,0003,0.8964583333333334,0.8964583333333334,0.8964583333333334,0.8964583333333334,0.8964583333333334,0.8964583333333334,0.8964583333333334,0.8964583333333334,0.8964583333333334,0.8964583333333334,0.8964583333333334
Arn,0004,0.8967916666666667,0.8967916666666667,0.8967916666666667,0.8967916666666667,0.8967916666666667,0.8967916666666667,0.8967916666666667,0.8967916666666667,0.8967916666666667,0.8967916666666667,0.8967916666666667
Arnes,0000,1.540467375,0.94507925,0.9025455,0.902592,0.900060625,0.90257175,0.9025945,0.9000595,0.90005025,0.902606125,0.90004775
Arnes,0001,1.3326455,0.98626525,0.905294,0.905321,0.900014375,0.90529425,0.90529825,0.900011125,0.900062125,0.905337,0.900071
Arnes,0002,1.297558375,0.912430375,0.9007095,0.900753125,0.900041125,0.90072625,0.900754125,0.90002575,0.9000575,0.9006885,0.900061125
Arnes,0003,1.512011875,0.965739375,0.90324975,0.903266625,0.900031125,0.9032,0.903222375,0.900036625,0.89999275,0.903247,0.900059
Arnes,0004,1.083160375,0.95874925,0.904470125,0.904454875,0.90006125,0.904485,0.9044865,0.90007875,0.90006575,0.904502125,0.900075125
Arpanet196912,0000,0.962446,0.962446,0.962446,0.962446,0.962446,0.962446,0.962446,0.962446,0.962446,0.962446,0.962446
Arpanet196912,0001,1.2433,1.178348,1.132629,1.132629,1.132629,1.132629,1.132629,1.132629,1.132629,1.132629,1.132629
Arpanet196912,0002,0.956687,0.956687,0.923963,0.923963,0.923963,0.923963,0.923963,0.923963,0.923963,0.923963,0.923963
Arpanet196912,0003,1.052865,1.052865,0.961027,0.961027,0.961027,0.961027,0.961027,0.961027,0.961027,0.961027,0.961027
Arpanet196912,0004,1.470942,1.064527,1.208269,1.208269,1.208269,1.208269,1.208269,1.208269,1.208269,1.208269,1.208269
Arpanet19706,0000,0.899989,0.899989,0.899989,0.899989,0.8999889999999999,0.899989,0.899989,0.899989,0.899989,0.899989,0.899989
Arpanet19706,0001,0.899991,0.899991,0.899991,0.899991,0.899991,0.899991,0.899991,0.899991,0.899991,0.899991,0.899991
Arpanet19706,0002,0.931959,0.899989,0.899989,0.899989,0.899989,0.899989,0.899989,0.899989,0.899989,0.899989,0.899989
Arpanet19706,0003,0.899991,0.899991,0.899991,0.8999909999999999,0.899991,0.899991,0.899991,0.899991,0.899991,0.899991,0.899991
Arpanet19706,0004,0.899991,0.899991,0.899991,0.899991,0.899991,0.899991,0.899991,0.899991,0.899991,0.899991,0.899991
Arpanet19719,0000,0.95448175,0.899981,0.90000825,0.8999912499999999,0.900016,0.9000514999999999,0.9000514999999999,0.900052,0.900052,0.9000765,0.9000245
Arpanet19719,0001,1.2369775,0.899978,0.899991,0.900038,0.8999805,0.9000235,0.9000235,0.899988,0.899988,0.9000275,0.9000275
Arpanet19719,0002,1.0865745,0.89998175,0.9000645,0.900047,0.90003325,0.90001,0.90001,0.89998325,0.89998325,0.9000345,0.9000345
Arpanet19719,0003,0.937374,0.8999785,0.9000075,0.900067,0.900031,0.900033,0.900033,0.90004,0.90004,0.90003,0.90003
Arpanet19719,0004,0.988302,0.8999905,0.900008,0.9000405,0.9000495,0.900056,0.900056,0.9000125,0.9000125,0.900037,0.899994
